program_id	program_label	program_family	source_status	gene_symbols	rationale	n_genes
candidate_inflammatory_remodeling_5	Inflammatory-remodeling candidate genes	candidate_signature	analysis_interpretation	IL6,ADAMTS4,PLA2G2A,CYR61,PI15	Most interpretable candidate genes for the biological interpretation.	5
candidate_signature_12	Diabetic ED pericyte-like 12-gene candidate signature	candidate_signature	analysis_result	ADAMTS4,NR4A3,IL6,PI15,PLA2G2A,SH3BP5,MT1A,NR4A2,ERAP2,NR4A1,CYR61,RGS16	All FDR < 0.05 diabetic ED pericyte-like candidates, including ERAP2 as the single downregulated candidate.	12
candidate_up_signature_11	Diabetic ED pericyte-like 11-gene up-signature	candidate_signature	analysis_result	ADAMTS4,NR4A3,IL6,PI15,PLA2G2A,SH3BP5,MT1A,NR4A2,NR4A1,CYR61,RGS16	Upregulated diabetic ED pericyte-like candidates used for same-direction Peyronie's cameraPR testing.	11
hallmark_myogenesis	Hallmark myogenesis	contractility	MSigDB_Hallmark_2020_via_Enrichr	IFRD1,ACTN3,ACSL1,ACTN2,DES,COL1A1,MAPK12,MYL7,PC,SCD,MYL1,MYL2,PPP1R3C,MYL3,MYL4,APP,RB1,TAGLN,VIPR1,ADCY9,SPDEF,AKT2,SH3BGR,WWTR1,DTNA,GABARAPL2,DMPK,ATP6AP1,GADD45B,TNNC1,TNNC2,IGF1,OCEL1,PTP4A3,SLC6A8,MYLPF,TNNT1,SMTN,TNNT2,BIN1,TNNT3,PKIA,SSPN,CRYAB,CFD,SPARC,SCHIP1,ENO3,MYLK,GJA5,APOD,MYBPC3,MYOG,SPHK1,SIRT2,FXYD1,MRAS,COL3A1,BHLHE40,HRC,ACHE,FLII,STC2,AEBP1,CSRP3,ANKRD2,CD36,TEAD4,NQO1,MEF2A,MEF2D,SVIL,MEF2C,PGAM2,PICK1,GAA,ADAM12,SORBS1,SORBS3,MYBPH,FKBP1B,FABP3,COL4A2,RIT1,TCAP,HBEGF,MAPRE3,RYR1,CTF1,CDKN1A,PYGM,CHRNG,CKB,DMD,SPTAN1,MYOZ1,GSN,TGFB1,AGL,CKM,TPM3,TPM2,TSC2,APLNR,PLXNB2,CHRNB1,CRAT,AGRN,CHRNA1,CLU,COX6A2,FOXO4,ABLIM1,SLN,SH2B1,MYH11,KCNH1,PPFIA4,KCNH2,FDPS,PRNP,DENND2B,FST,IGFBP3,REEP1,KIFC3,COL6A3,COL6A2,CDH13,CASQ1,CASQ2,MYF6,PVALB,MYOM1,MYOM2,NOTCH1,AK1,PSEN2,COX7A1,FGF2,MYL6B,CACNA1H,CNN3,BAG1,IGFBP7,GPX3,CAV3,NAV2,MYH1,MYH2,ACTA1,MYH3,LPIN1,MYH4,GNAO1,MYH9,ITGA7,MYH7,MYH8,NCAM1,HSPB8,HSPB2,SYNGR2,MB,ERBB3,BDKRB2,PDLIM7,PTGIS,DAPK2,PDE4DIP,KLF5,SOD3,TPD52L1,MYO1C,PFKM,HDAC5,EIF4A2,ITGB1,LSP1,COL15A1,ITGB5,LAMA2,FHL1,ITGB4,CAMK2B,ATP2A1,LDB3,ACTC1,EFS,CKMT2,SGCG,SGCD,SGCA,SPEG,TNNI2,CACNG1,NOS1,EPHB3,LARGE1,TNNI1	Established MSigDB Hallmark gene set: Myogenesis.	200
smooth_muscle_contractility	Smooth-muscle contractility and relaxation	contractility	curated_analysis_set	ACTA2,ACTG2,MYH11,MYLK,CNN1,TAGLN,CALD1,DES,LMOD1,TPM1,TPM2,MYL6,MYL9,MYOCD,KCNMA1,KCNMB1,ABCC9,ATP1A2,GUCY1A2,GUCY1B2,GUCY1A3,GUCY1B3,PDE5A,PRKG1,EDNRA,ADRA2A,RYR2,PLN,PDE3B	Captures corpus cavernosum smooth-muscle tone, contractility, and relaxation biology.	29
hallmark_complement	Hallmark complement	immune	MSigDB_Hallmark_2020_via_Enrichr	ACTN2,HPCAL4,PSMB9,XPNPEP1,LAP3,FDX1,HSPA1A,CALM3,PFN1,CDA,CALM1,LRP1,SERPINE1,C4BPB,CBLB,PRCP,ITIH1,RNF4,GNG2,S100A13,SPOCK2,PRSS3,S100A12,APOBEC3F,APOBEC3G,PRKCD,PLA2G4A,EHD1,PLSCR1,LGMN,SERPING1,GRB2,ZFPM2,CFB,GMFB,CFH,PDGFB,PREP,GATA3,PLA2G7,C2,LIPA,C3,LGALS3,PPP4C,C9,LTA4H,CTSB,DUSP5,DUSP6,LYN,ANXA5,FN1,SIRT6,RHOG,CP,RBSN,GP9,MMP13,ZEB1,MMP12,MMP15,MMP14,KLKB1,SERPINA1,TMPRSS6,KLK1,PCSK9,CTSV,CTSS,GNGT2,CTSO,CSRP1,CASP10,CTSL,HNF4A,CTSH,RCE1,TIMP1,TIMP2,CD36,FCER1G,CTSD,CTSC,SERPINB2,PRSS36,F2,GP1BA,F3,RABIF,F5,F7,F8,PDP1,COL4A2,CD40LG,CDK5R1,CD46,MSRB1,C1QC,C1QA,SERPINC1,WAS,GNAI2,GNAI3,PHEX,PCLO,PPP2CB,CD59,AKAP10,OLR1,CD55,JAK2,USP8,BRPF3,F10,GCA,TFPI2,GPD2,ADAM9,SCG3,S100A9,FCN1,RAF1,DGKH,DGKG,PRDM4,CLU,DOCK10,LAMP2,STX4,SH2B3,ADRA2B,MAFF,KIF2A,GNB2,CDH13,GNB4,NOTCH4,DOCK4,DYRK2,DOCK9,PSEN1,PLAT,VCPIP1,RASGRP1,PIM1,MMP8,KCNIP2,HSPA5,KCNIP3,MT3,APOA4,IRF1,IL6,PIK3CA,IRF2,IRF7,LCP2,CPM,CPQ,L3MBTL4,PIK3R5,TNFAIP3,CXCL1,DPP4,CA2,CASP9,CASP7,CASP4,CASP5,CASP3,ME1,CASP1,CR1,CR2,GZMB,ERAP2,GZMA,PLAUR,ATOX1,GZMK,LCK,APOC1,ANG,LTF,USP14,CEBPB,USP15,C1R,SRC,USP16,PLEK,C1S,PLG,ITGAM,PIK3CG,CCL5,KYNU,FYN	Established MSigDB Hallmark gene set: Complement.	200
hallmark_il6_jak_stat3	Hallmark IL6/JAK/STAT3 signaling	immune	MSigDB_Hallmark_2020_via_Enrichr	PTPN1,TGFB1,CCR1,PTPN2,IL4R,JUN,IL1R1,IL1R2,ITGA4,TNFRSF12A,IL10RB,PLA2G2A,DNTT,PTPN11,TYK2,OSMR,TNFRSF1A,TNFRSF1B,CXCL10,HAX1,TLR2,CXCL11,IL1B,IRF1,TNFRSF21,IL7,CXCL13,IL6,CD9,FAS,IL3RA,IL9R,IRF9,IL6ST,PF4,STAM2,CRLF2,IL18R1,CNTFR,ACVRL1,CSF3R,CXCL9,CSF2,CSF1,EBI3,PIK3R5,TNF,CXCL1,IL2RG,CXCL3,SOCS3,SOCS1,CD38,CD36,IL12RB1,MAP3K8,IL17RA,IL15RA,IFNGR1,STAT1,IFNGR2,STAT2,STAT3,INHBE,IL17RB,MYD88,LTBR,IL2RA,LTB,GRB2,IFNAR1,CD44,REG1A,ITGB3,PDGFC,CSF2RA,ACVR1B,CBL,CSF2RB,CCL7,HMOX1,LEPR,PIM1,BAK1,A2M,CD14,IL13RA1	Established MSigDB Hallmark gene set: IL-6/JAK/STAT3 Signaling.	87
hallmark_inflammatory_response	Hallmark inflammatory response	immune	MSigDB_Hallmark_2020_via_Enrichr	IL1R1,EREG,MARCO,TNFSF9,VIP,SLAMF1,SGMS2,IFITM1,AQP9,SERPINE1,C3AR1,NOD2,MYC,PROK2,MSR1,ABCA1,TNFSF15,FZD5,SLC11A2,RNF144B,GPR183,CHST2,MEP1A,NPFFR2,HPN,ICAM4,HIF1A,ICAM1,LPAR1,KCNMB2,IL12B,SCARF1,FFAR2,TNFSF10,CD14,CMKLR1,SCN1B,EDN1,LYN,CCL24,GABBR1,IL10,CCL22,IL15,CCL20,IL10RA,SPHK1,NMI,TACR3,LIF,EMP3,TACR1,IL18,RHOG,OSMR,DCBLD2,IL1A,PTPRE,TLR2,BST2,IL1B,TLR1,MMP14,IL18R1,TLR3,BTG2,CD40,MEFV,EBI3,ADM,FPR1,SLC7A1,CX3CL1,SLC7A2,RIPK2,TIMP1,CCR7,KIF1B,GCH1,IFNGR2,GP1BA,F3,CD48,HBEGF,CDKN1A,PTGER2,PTAFR,KCNA3,PTGER4,CXCR6,GNAI3,GPR132,NAMPT,STAB1,CCL17,OLR1,CD55,ICOSLG,IL4R,SLC31A2,CD70,SEMA4D,OSM,SLC31A1,CXCL10,CXCL11,AXL,SELENOS,ABI1,LY6E,APLNR,CD69,SLC28A2,RAF1,RELA,CSF3R,CSF3,CD82,CSF1,RGS16,SLC1A2,AHR,PVR,ATP2C1,BEST1,PDPN,HAS2,LAMP3,CCRL2,NLRP3,GPC3,LDLR,INHBA,CYBB,SELE,NFKB1,MXD1,SELL,NMUR1,IFNAR1,IL7R,CALCRL,C5AR1,PSEN1,IL18RAP,RASGRP1,RGS1,CLEC5A,NDP,TNFRSF9,ROS1,ITGA5,EIF2AK2,TAPBP,ACVR2A,TNFRSF1B,IRF1,NFKBIA,IL6,ADORA2B,IRF7,LCP2,CXCL8,CXCL9,TNFAIP6,PIK3R5,CXCL6,ADGRE1,HRH1,IRAK2,BDKRB1,P2RY2,PDE4B,IL15RA,PTGIR,ADRM1,TPBG,OPRK1,PLAUR,ATP2B1,P2RX7,LCK,KLF6,P2RX4,IL2RB,LTA,MET,RTP4,ITGB3,SRI,ATP2A2,SLC4A4,ACVR1B,GNA15,CCL7,CCL5,PCDH7,CCL2,ITGB8,KCNJ2	Established MSigDB Hallmark gene set: Inflammatory Response.	200
hallmark_tnfa_nfkb	Hallmark TNF-alpha/NF-kB signaling	immune	MSigDB_Hallmark_2020_via_Enrichr	MARCKS,IL23A,NINJ1,TNFSF9,SIK1,ATF3,SERPINE1,MYC,HES1,CCN1,CCNL1,EGR1,EGR2,EGR3,JAG1,ABCA1,GADD45B,GADD45A,KLF10,PLK2,EIF1,EHD1,FOSL2,FOSL1,GPR183,PLPP3,IFIT2,ICAM1,ZC3H12A,IER2,IL12B,IER5,JUNB,IER3,STAT5A,DUSP5,EDN1,DUSP4,JUN,DUSP1,DUSP2,TSC22D1,CCL20,SPHK1,LIF,IL18,TUBB2A,RHOB,VEGFA,IL1A,PTPRE,TLR2,IL1B,BHLHE40,CLCF1,ID2,REL,FJX1,SGK1,BTG3,BTG2,BTG1,SDC4,LITAF,AREG,SOCS3,PANX1,RIPK2,NFIL3,SERPINB2,GCH1,IFNGR2,G0S2,FOS,F3,SERPINB8,SPSB1,FOSB,PER1,F2RL1,HBEGF,CD44,TRIP10,CDKN1A,PTGER4,PTGS2,IFIH1,NAMPT,OLR1,ICOSLG,PHLDA1,ZBTB10,TAP1,PNRC1,CXCL10,CXCL11,IL6ST,CD69,SQSTM1,RELA,CD83,CSF2,CSF1,CD80,PPP1R15A,TNC,TNF,RELB,TANK,ZFP36,CCND1,RNF19B,CCRL2,DENND5A,MAP3K8,PHLDA2,LDLR,SLC16A6,SMAD3,TGIF1,MAP2K3,DDX58,INHBA,TRAF1,NFKB1,NFKB2,GEM,MAFF,NR4A3,RCAN1,EFNA1,NR4A2,MXD1,BIRC2,BIRC3,YRDC,IL7R,PFKFB3,IRS2,SLC2A3,PLAU,SAT1,SLC2A6,ETS2,NR4A1,SNN,PMEPA1,TNFRSF9,MSC,TIPARP,LAMB3,GFPT2,CFLAR,TNIP1,IRF1,NFKBIA,BMP2,IL6,TNIP2,BCL6,BCL3,NFKBIE,NFE2L2,B4GALT1,NFAT5,BCL2A1,TNFAIP8,TNFAIP6,TNFAIP3,CXCL2,CXCL1,TNFAIP2,CXCL3,CXCL6,FUT4,DRAM1,DNAJB4,PDE4B,PDLIM5,MCL1,KDM6B,IL15RA,PLAUR,ATP2B1,KLF4,KLF2,SOD2,KLF9,KLF6,ACKR3,PTX3,B4GALT5,TRIB1,CEBPB,CEBPD,PLEK,CCL5,KYNU,CCL4,CCL2	Established MSigDB Hallmark gene set: TNF-alpha Signaling via NF-kB.	200
inflammation_antigen_presentation	Inflammation and antigen presentation	immune	curated_analysis_set	HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,CD74,CIITA,C1QA,C1QB,C1QC,TYROBP,AIF1,IL1B,TNF,CCL2,CCL3,CCL4,CCL5,CXCL8,CXCL12,PTPRC,LST1,CD68,CD163	Tracks macrophage/T-cell inflammatory and antigen-presentation axes, with special caution for HLA interpretation.	26
