comparison_level	leiden_r0_5	author_cluster	n_overlap_top100	jaccard_top100	overlap_genes_top30_display
author_7_major_clusters	0	EC	46	0.2987012987012987	ADGRF5,AKR1C2,APOLD1,ARL4A,B2M,CCL14,CD74,CD9,CD93,CLEC14A,CLEC3B,CLU,CRIM1,CTSC,DUSP1,ECSCR.1,EGFL7,EMCN,ENG,ESAM,FAM188B,GIMAP4,GIMAP7,GNG11,HES1,HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-E
author_7_major_clusters	0	MAC	4	0.02040816326530612	CD74,HLA-DRA,HLA-DRB1,RNASE1
author_7_major_clusters	0	T	1	0.005025125628140704	RPS19
author_7_major_clusters	0	FB	0	0.0	
author_7_major_clusters	0	PC	0	0.0	
author_7_major_clusters	0	SMC	0	0.0	
author_7_major_clusters	0	SWC	0	0.0	
author_7_major_clusters	1	MAC	85	0.7391304347826086	ADAP2,AIF1,ALOX5AP,ARRB2,C1QA,C1QB,C1QC,C3AR1,CD14,CD163,CD4,CD68,CD74,CD84,CPVL,CSF1R,CST3,CTSB,CTSS,CTSZ,CYBA,CYBB,DAB2,EMB,F13A1,FCER1G,FCGR2A,FCGR2B,FGL2,FOLR2
author_7_major_clusters	1	T	13	0.06951871657754011	ALOX5AP,CD53,CYBA,EMB,HCLS1,HCST,IQGAP2,ITGB2,LAPTM5,LCP1,PTPRC,SRGN,STK17B
author_7_major_clusters	1	EC	2	0.010101010101010102	CD74,HLA-DRB1
author_7_major_clusters	1	PC	2	0.010101010101010102	TGFBI,ZEB2
author_7_major_clusters	1	SWC	1	0.005025125628140704	MARCKS
author_7_major_clusters	1	FB	0	0.0	
author_7_major_clusters	1	SMC	0	0.0	
author_7_major_clusters	10	EC	34	0.20481927710843373	ADGRL4,BCAM,C10orf10,CAV1,CD93,CLDN5,CLEC14A,CRIP2,ECSCR.1,EFNB2,EGFL7,EPAS1,ESAM,GIMAP1,GIMAP4,GIMAP7,GNG11,HLA-B,HLA-C,HLA-E,HYAL2,ICAM2,IFI27,KCTD12,MMRN2,NPDC1,PALMD,PECAM1,PODXL,SLC9A3R2
author_7_major_clusters	10	MAC	2	0.010101010101010102	RNASE1,SRGN
author_7_major_clusters	10	SMC	2	0.010101010101010102	A2M,BCAM
