donor_id	major_cell_type	n_cells
DMED1	Endothelial	4319
DMED1	Fibroblast	2777
DMED1	Macrophage	251
DMED1	Mural	952
DMED1	Schwann_neural	3
DMED1	Smooth_muscle	594
DMED1	T_cell	162
DMED2	Endothelial	2355
DMED2	Fibroblast	3477
DMED2	Macrophage	428
DMED2	Mural	1529
DMED2	Schwann_neural	13
DMED2	Smooth_muscle	2284
DMED2	T_cell	339
ED1	Endothelial	3425
ED1	Fibroblast	2050
ED1	Macrophage	61
ED1	Mural	217
ED1	Schwann_neural	11
ED1	Smooth_muscle	37
ED1	T_cell	105
ED2	Endothelial	942
ED2	Fibroblast	1598
ED2	Macrophage	34
ED2	Mural	71
ED2	Schwann_neural	23
ED2	Smooth_muscle	44
ED2	T_cell	141
ED3	Endothelial	3316
ED3	Fibroblast	4826
ED3	Macrophage	280
ED3	Mural	2271
ED3	Schwann_neural	61
ED3	Smooth_muscle	100
ED3	T_cell	325
N1	Endothelial	5198
N1	Fibroblast	2386
N1	Macrophage	326
N1	Mural	256
N1	Schwann_neural	1
N1	Smooth_muscle	56
N1	T_cell	134
N2	Endothelial	1719
N2	Fibroblast	3260
N2	Macrophage	152
N2	Mural	205
N2	Schwann_neural	18
N2	Smooth_muscle	20
N2	T_cell	197
N3	Endothelial	2840
N3	Fibroblast	7219
N3	Macrophage	375
N3	Mural	386
N3	Schwann_neural	3
N3	Smooth_muscle	283
N3	T_cell	538
