donor_id	major_cell_type	n_cells	proportion
DMED1	Endothelial	4319	0.4768160741885626
DMED1	Fibroblast	2777	0.30657981894457936
DMED1	Macrophage	251	0.027710311327003755
DMED1	Mural	952	0.10510046367851623
DMED1	Schwann_neural	3	0.00033119894016339147
DMED1	Smooth_muscle	594	0.0655773901523515
DMED1	T_cell	162	0.01788474276882314
DMED2	Endothelial	2355	0.22589928057553957
DMED2	Fibroblast	3477	0.33352517985611513
DMED2	Macrophage	428	0.04105515587529976
DMED2	Mural	1529	0.14666666666666667
DMED2	Schwann_neural	13	0.0012470023980815348
DMED2	Smooth_muscle	2284	0.21908872901678658
DMED2	T_cell	339	0.03251798561151079
ED1	Endothelial	3425	0.5799187267185912
ED1	Fibroblast	2050	0.3471046393498137
ED1	Macrophage	61	0.010328479512360312
ED1	Mural	217	0.0367422959701998
ED1	Schwann_neural	11	0.0018625126989502202
ED1	Smooth_muscle	37	0.006264815441923467
ED1	T_cell	105	0.01777853030816119
ED2	Endothelial	942	0.3301787592008412
ED2	Fibroblast	1598	0.560112162635822
ED2	Macrophage	34	0.011917280056081317
ED2	Mural	71	0.02488608482299334
ED2	Schwann_neural	23	0.008061689449702068
ED2	Smooth_muscle	44	0.015422362425517
ED2	T_cell	141	0.04942166140904311
ED3	Endothelial	3316	0.296627605331425
ED3	Fibroblast	4826	0.43170229895339474
ED3	Macrophage	280	0.025046963055729492
ED3	Mural	2271	0.20314876106986313
ED3	Schwann_neural	61	0.005456659808569639
ED3	Smooth_muscle	100	0.00894534394847482
ED3	T_cell	325	0.02907236783254316
N1	Endothelial	5198	0.621993538351083
N1	Fibroblast	2386	0.28550915400263255
N1	Macrophage	326	0.03900921383271509
N1	Mural	256	0.03063300227354314
N1	Schwann_neural	1	0.00011966016513102789
N1	Smooth_muscle	56	0.006700969247337561
N1	T_cell	134	0.016034462127557735
N2	Endothelial	1719	0.308562197092084
N2	Fibroblast	3260	0.5851732184527015
N2	Macrophage	152	0.027284150062825346
N2	Mural	205	0.03679770238736313
N2	Schwann_neural	18	0.0032310177705977385
N2	Smooth_muscle	20	0.003590019745108598
N2	T_cell	197	0.03536169448931969
N3	Endothelial	2840	0.24390243902439024
N3	Fibroblast	7219	0.6199759532806596
N3	Macrophage	375	0.0322054276880797
N3	Mural	386	0.0331501202335967
N3	Schwann_neural	3	0.00025764342150463756
N3	Smooth_muscle	283	0.024304362761937478
N3	T_cell	538	0.04620405358983167
