cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Endothelial	diabetic_ED_vs_normal	HLA-DQA2	down_in_ED	-9.54303479215806	5.35100556330002	5.29281667559496e-07	0.0078254294548671	3	2	5.963470882259983	-3.175896516211089	-9.139367398471073	2	1.0	2	N1__Endothelial:6.567;N2__Endothelial:5.244;N3__Endothelial:6.080	DMED1__Endothelial:-3.369;DMED2__Endothelial:-2.983
Endothelial	non_diabetic_ED_vs_normal	CA4	up_in_ED	5.4525001055868	3.39793102683645	1.76272453480246e-06	0.0258133380876472	3	3	-1.1150512931773717	4.35271322124111	5.467764514418482	3	1.0	3	N1__Endothelial:-2.109;N2__Endothelial:-1.186;N3__Endothelial:-0.050	ED1__Endothelial:4.302;ED2__Endothelial:4.598;ED3__Endothelial:4.158
Fibroblast	diabetic_ED_vs_normal	AREG	up_in_ED	5.98996671037323	2.5003778882383	1.63003620652602e-06	0.0167886666856756	3	2	-2.243888970601424	3.6832719289653024	5.927160899566726	2	1.0	2	N1__Fibroblast:-2.903;N2__Fibroblast:-1.376;N3__Fibroblast:-2.453	DMED1__Fibroblast:4.179;DMED2__Fibroblast:3.188
Fibroblast	diabetic_ED_vs_normal	NR4A2	up_in_ED	2.76802799400572	5.33007184278938	2.25363120498907e-06	0.0167886666856756	3	2	3.5977174968972556	6.34510622313203	2.747388726234774	2	1.0	2	N1__Fibroblast:3.430;N2__Fibroblast:3.565;N3__Fibroblast:3.798	DMED1__Fibroblast:6.234;DMED2__Fibroblast:6.456
Fibroblast	diabetic_ED_vs_normal	FILIP1L	up_in_ED	3.04645473179974	8.07411643412284	3.90335707718749e-06	0.0167886666856756	3	2	6.107149510004933	9.138671750381128	3.031522240376195	2	1.0	2	N1__Fibroblast:6.151;N2__Fibroblast:6.215;N3__Fibroblast:5.956	DMED1__Fibroblast:9.061;DMED2__Fibroblast:9.216
Fibroblast	diabetic_ED_vs_normal	NR4A3	up_in_ED	5.54127524412666	4.51931614029563	4.67531589716879e-06	0.0167886666856756	3	2	0.19928791970073143	5.688161445907136	5.488873526206405	2	1.0	2	N1__Fibroblast:0.965;N2__Fibroblast:0.065;N3__Fibroblast:-0.432	DMED1__Fibroblast:5.178;DMED2__Fibroblast:6.199
Fibroblast	diabetic_ED_vs_normal	ERAP2	down_in_ED	-4.07229429713718	5.52992552838693	5.75453605359167e-06	0.0167886666856756	3	2	6.151692674997162	2.126963253466001	-4.024729421531161	2	1.0	2	N1__Fibroblast:5.494;N2__Fibroblast:6.852;N3__Fibroblast:6.110	DMED1__Fibroblast:2.139;DMED2__Fibroblast:2.114
Fibroblast	diabetic_ED_vs_normal	NCALD	up_in_ED	3.05145906901153	2.54169707890753	6.44313676052535e-06	0.0167886666856756	3	2	0.5759146805497014	3.598293794381906	3.0223791138322045	2	1.0	2	N1__Fibroblast:0.608;N2__Fibroblast:0.422;N3__Fibroblast:0.698	DMED1__Fibroblast:3.654;DMED2__Fibroblast:3.543
Fibroblast	diabetic_ED_vs_normal	DLX5	down_in_ED	-2.50962608944302	5.34195221429613	1.22768804913012e-05	0.0274195356572862	3	2	5.916681601095579	3.3863309966763833	-2.530350604419196	2	1.0	2	N1__Fibroblast:5.537;N2__Fibroblast:6.216;N3__Fibroblast:5.997	DMED1__Fibroblast:3.230;DMED2__Fibroblast:3.543
Fibroblast	diabetic_ED_vs_normal	DUSP8	up_in_ED	3.3661237870397	4.17128331676181	1.74069520132553e-05	0.0340175359719041	3	2	1.8616881553006888	5.276540278744163	3.414852123443474	2	1.0	2	N1__Fibroblast:2.322;N2__Fibroblast:2.096;N3__Fibroblast:1.167	DMED1__Fibroblast:5.240;DMED2__Fibroblast:5.313
Fibroblast	diabetic_ED_vs_normal	ZC3H12A	up_in_ED	3.14459204490105	4.084816493692	2.91000165811517e-05	0.0466332048601497	3	2	2.0309538983030593	5.047803339413544	3.016849441110485	2	1.0	2	N1__Fibroblast:2.013;N2__Fibroblast:2.377;N3__Fibroblast:1.703	DMED1__Fibroblast:4.464;DMED2__Fibroblast:5.631
Fibroblast	diabetic_ED_vs_normal	ETS2	up_in_ED	1.93973320388557	4.72994438825117	2.9828070142094e-05	0.0466332048601497	3	2	3.633632311583534	5.558071143121661	1.9244388315381271	2	1.0	2	N1__Fibroblast:3.458;N2__Fibroblast:3.982;N3__Fibroblast:3.461	DMED1__Fibroblast:5.608;DMED2__Fibroblast:5.508
Fibroblast	non_diabetic_ED_vs_normal	BMPER	up_in_ED	2.48366124347007	5.59461060427702	6.19075182328838e-07	0.0056995096834593	3	3	3.8397470247784717	6.3827053696618945	2.5429583448834228	3	1.0	3	N1__Fibroblast:3.755;N2__Fibroblast:4.002;N3__Fibroblast:3.762	ED1__Fibroblast:6.190;ED2__Fibroblast:6.618;ED3__Fibroblast:6.340
Fibroblast	non_diabetic_ED_vs_normal	AIF1L	up_in_ED	3.34577724947051	3.48867088712881	7.42220299968656e-07	0.0056995096834593	3	3	0.9774784088781847	4.347290634076535	3.3698122251983507	3	1.0	3	N1__Fibroblast:0.752;N2__Fibroblast:1.221;N3__Fibroblast:0.960	ED1__Fibroblast:3.813;ED2__Fibroblast:4.499;ED3__Fibroblast:4.729
Fibroblast	non_diabetic_ED_vs_normal	CALB1	up_in_ED	4.42901294478315	1.01802323365537	3.81197333542257e-06	0.0195147621618066	3	3	-2.4360559445924106	1.9381556990425068	4.374211643634918	3	1.0	3	N1__Fibroblast:-2.418;N2__Fibroblast:-2.598;N3__Fibroblast:-2.292	ED1__Fibroblast:2.161;ED2__Fibroblast:2.125;ED3__Fibroblast:1.528
