cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	n_control_donors	n_disease_donors	control_mean_logCPM	disease_mean_logCPM	disease_minus_control_mean_logCPM	disease_donors_consistent_vs_control_median	disease_fraction_consistent_vs_control_median	disease_donors_beyond_control_range	control_donor_values_logCPM	disease_donor_values_logCPM
Endothelial	diabetic_ED_vs_normal	HLA-DQA2	down_in_ED	-9.54303479215806	5.35100556330002	5.29281667559496e-07	0.0078254294548671	3	2	5.963470882259983	-3.175896516211089	-9.139367398471073	2	1.0	2	N1__Endothelial:6.567;N2__Endothelial:5.244;N3__Endothelial:6.080	DMED1__Endothelial:-3.369;DMED2__Endothelial:-2.983
Endothelial	non_diabetic_ED_vs_normal	CA4	up_in_ED	5.4525001055868	3.39793102683645	1.76272453480246e-06	0.0258133380876472	3	3	-1.1150512931773717	4.35271322124111	5.467764514418482	3	1.0	3	N1__Endothelial:-2.109;N2__Endothelial:-1.186;N3__Endothelial:-0.050	ED1__Endothelial:4.302;ED2__Endothelial:4.598;ED3__Endothelial:4.158
Endothelial	organic_ED_vs_normal	STC1	up_in_ED	2.59641518507686	9.19802747702939	1.36805511497016e-05	0.0856666805146307	3	5	7.065994702262082	9.702365442010882	2.6363707397487994	5	1.0	5	N1__Endothelial:7.226;N2__Endothelial:7.454;N3__Endothelial:6.519	DMED1__Endothelial:9.687;DMED2__Endothelial:9.732;ED1__Endothelial:9.922;ED2__Endothelial:9.927;ED3__Endothelial:9.244
Endothelial	organic_ED_vs_normal	EGR3	up_in_ED	3.37808281043278	6.85256191690806	1.96170744586911e-05	0.0856666805146307	3	5	4.02689610705922	7.312058560365974	3.2851624533067536	5	1.0	5	N1__Endothelial:4.282;N2__Endothelial:4.002;N3__Endothelial:3.796	DMED1__Endothelial:6.363;DMED2__Endothelial:7.455;ED1__Endothelial:6.544;ED2__Endothelial:7.979;ED3__Endothelial:8.220
Endothelial	organic_ED_vs_normal	PLK3	up_in_ED	1.63858739982288	5.6802976723963	2.03328251925877e-05	0.0856666805146307	3	5	4.445972769683373	6.0755006173136135	1.6295278476302402	5	1.0	5	N1__Endothelial:4.422;N2__Endothelial:4.637;N3__Endothelial:4.279	DMED1__Endothelial:6.216;DMED2__Endothelial:6.271;ED1__Endothelial:6.188;ED2__Endothelial:5.747;ED3__Endothelial:5.956
Endothelial	organic_ED_vs_normal	ACP5	down_in_ED	-1.34444398183504	2.51215522701616	2.84390003722962e-05	0.0856666805146307	3	5	3.169303720184678	1.8199085175385696	-1.3493952026461082	5	1.0	5	N1__Endothelial:3.063;N2__Endothelial:3.000;N3__Endothelial:3.445	DMED1__Endothelial:1.906;DMED2__Endothelial:1.582;ED1__Endothelial:1.726;ED2__Endothelial:1.779;ED3__Endothelial:2.107
Endothelial	organic_ED_vs_normal	NR4A3	up_in_ED	4.43119770091666	3.01020178697951	2.86568142485551e-05	0.0856666805146307	3	5	-0.9082814095903577	3.4332287100752112	4.341510119665569	5	1.0	5	N1__Endothelial:-0.576;N2__Endothelial:-0.701;N3__Endothelial:-1.449	DMED1__Endothelial:3.111;DMED2__Endothelial:4.639;ED1__Endothelial:3.316;ED2__Endothelial:2.229;ED3__Endothelial:3.871
Endothelial	organic_ED_vs_normal	CA4	up_in_ED	5.07218556667668	3.31502008605495	3.76321013996894e-05	0.0857679508636578	3	5	-1.1150512931773717	3.718782358522515	4.833833651699886	5	1.0	5	N1__Endothelial:-2.109;N2__Endothelial:-1.186;N3__Endothelial:-0.050	DMED1__Endothelial:1.795;DMED2__Endothelial:3.741;ED1__Endothelial:4.302;ED2__Endothelial:4.598;ED3__Endothelial:4.158
Endothelial	organic_ED_vs_normal	LETM2	up_in_ED	1.47517266573464	2.17846297611344	4.25683226683492e-05	0.0857679508636578	3	5	1.0882885500334476	2.5455518448151997	1.457263294781752	5	1.0	5	N1__Endothelial:0.741;N2__Endothelial:1.057;N3__Endothelial:1.467	DMED1__Endothelial:2.621;DMED2__Endothelial:2.530;ED1__Endothelial:2.489;ED2__Endothelial:2.423;ED3__Endothelial:2.664
Endothelial	organic_ED_vs_normal	INHBB	up_in_ED	1.17822928327371	5.43064492653338	4.59051051655357e-05	0.0857679508636578	3	5	4.562496005571847	5.763102177793681	1.2006061722218337	5	1.0	5	N1__Endothelial:4.542;N2__Endothelial:4.213;N3__Endothelial:4.933	DMED1__Endothelial:5.829;DMED2__Endothelial:5.728;ED1__Endothelial:5.636;ED2__Endothelial:5.666;ED3__Endothelial:5.956
Endothelial	organic_ED_vs_normal	DUSP5	up_in_ED	2.6701313572913	7.07600729092748	5.6069990015578e-05	0.0914546678810624	3	5	4.753455214438471	7.600036499188834	2.8465812847503624	5	1.0	5	N1__Endothelial:5.567;N2__Endothelial:4.549;N3__Endothelial:4.145	DMED1__Endothelial:7.101;DMED2__Endothelial:7.919;ED1__Endothelial:7.523;ED2__Endothelial:7.839;ED3__Endothelial:7.617
Endothelial	organic_ED_vs_normal	NFATC1	up_in_ED	1.91316210032971	5.57663562702023	6.11859690112145e-05	0.0914546678810624	3	5	4.111585437640201	5.973438288523072	1.8618528508828707	5	1.0	5	N1__Endothelial:4.032;N2__Endothelial:3.864;N3__Endothelial:4.438	DMED1__Endothelial:6.478;DMED2__Endothelial:6.266;ED1__Endothelial:5.636;ED2__Endothelial:5.310;ED3__Endothelial:6.177
Endothelial	organic_ED_vs_normal	DSG2	down_in_ED	-1.23480968562154	3.60005349643855	7.58132431227614e-05	0.095959974396975	3	5	4.198326204672689	2.9913414677814174	-1.2069847368912718	5	1.0	5	N1__Endothelial:3.642;N2__Endothelial:4.209;N3__Endothelial:4.745	DMED1__Endothelial:2.966;DMED2__Endothelial:3.069;ED1__Endothelial:2.730;ED2__Endothelial:2.867;ED3__Endothelial:3.325
