cell_type	comparison	gene_symbol	direction	logFC	logCPM	PValue	FDR	group_summary
Endothelial	diabetic_ED_vs_normal	HLA-DQA2	down_in_ED	-9.54303479215806	5.35100556330002	5.29281667559496e-07	0.0078254294548671	normal=3;diabetic_ED=2
Endothelial	non_diabetic_ED_vs_normal	CA4	up_in_ED	5.4525001055868	3.39793102683645	1.76272453480246e-06	0.0258133380876472	normal=3;non_diabetic_ED=3
Fibroblast	diabetic_ED_vs_normal	AREG	up_in_ED	5.98996671037323	2.5003778882383	1.63003620652602e-06	0.0167886666856756	normal=3;diabetic_ED=2
Fibroblast	diabetic_ED_vs_normal	NR4A2	up_in_ED	2.76802799400572	5.33007184278938	2.25363120498907e-06	0.0167886666856756	normal=3;diabetic_ED=2
Fibroblast	diabetic_ED_vs_normal	FILIP1L	up_in_ED	3.04645473179974	8.07411643412284	3.90335707718749e-06	0.0167886666856756	normal=3;diabetic_ED=2
Fibroblast	diabetic_ED_vs_normal	NR4A3	up_in_ED	5.54127524412666	4.51931614029563	4.67531589716879e-06	0.0167886666856756	normal=3;diabetic_ED=2
Fibroblast	diabetic_ED_vs_normal	ERAP2	down_in_ED	-4.07229429713718	5.52992552838693	5.75453605359167e-06	0.0167886666856756	normal=3;diabetic_ED=2
Fibroblast	diabetic_ED_vs_normal	NCALD	up_in_ED	3.05145906901153	2.54169707890753	6.44313676052535e-06	0.0167886666856756	normal=3;diabetic_ED=2
Fibroblast	diabetic_ED_vs_normal	DLX5	down_in_ED	-2.50962608944302	5.34195221429613	1.22768804913012e-05	0.0274195356572862	normal=3;diabetic_ED=2
Fibroblast	diabetic_ED_vs_normal	DUSP8	up_in_ED	3.3661237870397	4.17128331676181	1.74069520132553e-05	0.0340175359719041	normal=3;diabetic_ED=2
Fibroblast	diabetic_ED_vs_normal	ZC3H12A	up_in_ED	3.14459204490105	4.084816493692	2.91000165811517e-05	0.0466332048601497	normal=3;diabetic_ED=2
Fibroblast	diabetic_ED_vs_normal	ETS2	up_in_ED	1.93973320388557	4.72994438825117	2.9828070142094e-05	0.0466332048601497	normal=3;diabetic_ED=2
Fibroblast	non_diabetic_ED_vs_normal	BMPER	up_in_ED	2.48366124347007	5.59461060427702	6.19075182328838e-07	0.0056995096834593	normal=3;non_diabetic_ED=3
Fibroblast	non_diabetic_ED_vs_normal	AIF1L	up_in_ED	3.34577724947051	3.48867088712881	7.42220299968656e-07	0.0056995096834593	normal=3;non_diabetic_ED=3
