cell_type	comparison	genes_tested	n_samples	group_summary	n_FDR_0_05	n_FDR_0_10	n_abs_logFC_1_FDR_0_05
Endothelial	organic_ED_vs_normal	14947	8	normal=3;organic_ED=5	0	26	0
Endothelial	non_diabetic_ED_vs_normal	14644	6	normal=3;non_diabetic_ED=3	1	1	1
Endothelial	diabetic_ED_vs_normal	14785	5	normal=3;diabetic_ED=2	1	1	1
Fibroblast	organic_ED_vs_normal	15687	8	normal=3;organic_ED=5	21	92	21
Fibroblast	non_diabetic_ED_vs_normal	15358	6	normal=3;non_diabetic_ED=3	43	177	43
Fibroblast	diabetic_ED_vs_normal	15634	5	normal=3;diabetic_ED=2	10	18	10
Macrophage	organic_ED_vs_normal	9888	7	normal=3;organic_ED=4	1	1	1
Macrophage	non_diabetic_ED_vs_normal	10067	5	normal=3;non_diabetic_ED=2	1	1	1
Macrophage	diabetic_ED_vs_normal	10853	5	normal=3;diabetic_ED=2	1	1	1
Mural	organic_ED_vs_normal	10614	8	normal=3;organic_ED=5	75	173	67
Mural	non_diabetic_ED_vs_normal	9962	6	normal=3;non_diabetic_ED=3	0	0	0
Mural	diabetic_ED_vs_normal	10397	5	normal=3;diabetic_ED=2	24	95	24
Smooth_muscle	organic_ED_vs_normal	10427	5	normal=2;organic_ED=3	0	0	0
Smooth_muscle	diabetic_ED_vs_normal	11697	4	normal=2;diabetic_ED=2	0	0	0
T_cell	organic_ED_vs_normal	8077	8	normal=3;organic_ED=5	0	0	0
T_cell	non_diabetic_ED_vs_normal	7656	6	normal=3;non_diabetic_ED=3	0	0	0
T_cell	diabetic_ED_vs_normal	8240	5	normal=3;diabetic_ED=2	4	13	4
