cell_type	comparison	gene_symbol	direction	logFC	FDR
Endothelial	diabetic_ED_vs_normal	HLA-DQA2	down	-9.54303479215806	0.0078254294548671
Endothelial	diabetic_ED_vs_normal	NFATC1	up	2.29031261309199	0.107288738389637
Endothelial	diabetic_ED_vs_normal	FOSL1	up	4.60472990846104	0.107288738389637
Endothelial	diabetic_ED_vs_normal	NR4A3	up	4.85370419953505	0.107288738389637
Endothelial	diabetic_ED_vs_normal	SNAI1	up	2.38737427038531	0.107288738389637
Endothelial	diabetic_ED_vs_normal	ERAP2	down	-3.24609339747821	0.107288738389637
Endothelial	diabetic_ED_vs_normal	ADAMTS4	up	3.26113519006956	0.107288738389637
Endothelial	diabetic_ED_vs_normal	TRIB1	up	2.63417662498303	0.107288738389637
Endothelial	diabetic_ED_vs_normal	SGK1	up	2.27504596158151	0.107288738389637
Endothelial	diabetic_ED_vs_normal	NFATC2	up	1.62350425095082	0.107288738389637
Endothelial	non_diabetic_ED_vs_normal	CA4	up	5.4525001055868	0.0258133380876472
Endothelial	non_diabetic_ED_vs_normal	EGR3	up	3.60246994029402	0.203398374553587
Endothelial	non_diabetic_ED_vs_normal	NR4A3	up	4.06567388312989	0.239959978829858
Endothelial	non_diabetic_ED_vs_normal	CEMIP	up	5.56274624752735	0.239959978829858
Endothelial	non_diabetic_ED_vs_normal	DSC2	down	-2.26230009103474	0.303526430812084
Endothelial	non_diabetic_ED_vs_normal	STC1	up	2.59111976445904	0.303526430812084
Endothelial	non_diabetic_ED_vs_normal	SDHAF1	down	-1.43503755985292	0.303526430812084
Endothelial	non_diabetic_ED_vs_normal	NFATC1	up	1.59150566525644	0.303526430812084
Endothelial	non_diabetic_ED_vs_normal	OPCML	up	3.64706776993596	0.303526430812084
Endothelial	non_diabetic_ED_vs_normal	AKAP12	up	2.38202894809224	0.303526430812084
Endothelial	organic_ED_vs_normal	STC1	up	2.59641518507686	0.0856666805146307
Endothelial	organic_ED_vs_normal	EGR3	up	3.37808281043278	0.0856666805146307
Endothelial	organic_ED_vs_normal	PLK3	up	1.63858739982288	0.0856666805146307
Endothelial	organic_ED_vs_normal	ACP5	down	-1.34444398183504	0.0856666805146307
Endothelial	organic_ED_vs_normal	NR4A3	up	4.43119770091666	0.0856666805146307
Endothelial	organic_ED_vs_normal	CA4	up	5.07218556667668	0.0857679508636578
Endothelial	organic_ED_vs_normal	LETM2	up	1.47517266573464	0.0857679508636578
Endothelial	organic_ED_vs_normal	INHBB	up	1.17822928327371	0.0857679508636578
Endothelial	organic_ED_vs_normal	DUSP5	up	2.6701313572913	0.0914546678810624
Endothelial	organic_ED_vs_normal	NFATC1	up	1.91316210032971	0.0914546678810624
Fibroblast	diabetic_ED_vs_normal	AREG	up	5.98996671037323	0.0167886666856756
Fibroblast	diabetic_ED_vs_normal	NR4A2	up	2.76802799400572	0.0167886666856756
Fibroblast	diabetic_ED_vs_normal	FILIP1L	up	3.04645473179974	0.0167886666856756
