cell_type	comparison	gene_symbol	full_logFC	full_PValue	full_FDR	n_lodo_runnable	n_lodo_gene_tested	n_lodo_same_direction	fraction_lodo_same_direction	n_lodo_nominal_0_05	n_lodo_FDR_0_10	n_lodo_FDR_0_05	min_lodo_logFC	max_lodo_logFC	leave_out_donors	stable_direction_all_lodo	gene_tested_all_lodo	stable_tested_direction_all_lodo	stable_direction_min_80pct	retained_nominal_signal_any_lodo
Endothelial	diabetic_ED_vs_normal	HLA-DQA2	-9.54303479215806	5.29281667559496e-07	0.00782542945486715	3	3	3	1	3	3	3	-9.8435737995077	-9.06353566282528	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	non_diabetic_ED_vs_normal	CA4	5.4525001055868	1.76272453480246e-06	0.0258133380876472	6	6	6	1	6	5	1	5.01697639541545	6.01990223857434	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	STC1	2.59641518507686	1.36805511497016e-05	0.0856666805146307	8	8	8	1	8	2	0	2.32526790628219	2.75548171082645	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	EGR3	3.37808281043278	1.96170744586911e-05	0.0856666805146307	8	8	8	1	8	3	0	3.18069983204477	3.62717304888623	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	PLK3	1.63858739982288	2.03328251925877e-05	0.0856666805146307	8	8	8	1	8	2	0	1.49927181120558	1.72495562659099	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	ACP5	-1.34444398183504	2.84390003722962e-05	0.0856666805146307	8	8	8	1	8	1	0	-1.43987435464878	-1.28342445617802	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	NR4A3	4.43119770091666	2.86568142485551e-05	0.0856666805146307	8	8	8	1	8	2	1	4.03663154104069	4.80062675396906	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	CA4	5.07218556667668	3.76321013996894e-05	0.0857679508636578	8	8	8	1	8	1	1	4.62962091107443	5.63294427297199	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	LETM2	1.47517266573464	4.25683226683492e-05	0.0857679508636578	8	8	8	1	8	0	0	1.37890497106651	1.59140977302327	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	INHBB	1.17822928327371	4.59051051655357e-05	0.0857679508636578	8	8	8	1	8	1	0	1.01059644919749	1.28748550617837	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	DUSP5	2.6701313572913	5.6069990015578e-05	0.0914546678810624	8	8	8	1	8	1	1	2.3595272084272	3.33881067522861	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	NFATC1	1.91316210032971	6.11859690112145e-05	0.0914546678810624	8	8	8	1	8	1	1	1.74987213614988	2.05618628313902	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	DSG2	-1.23480968562154	7.58132431227614e-05	0.095959974396975	8	8	8	1	8	1	0	-1.41319614128865	-1.01122958456706	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	MYADM	2.11001596398284	8.74709216768077e-05	0.095959974396975	8	8	8	1	8	1	0	1.852511759982	2.52102760633431	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	DUSP2	4.03935203578291	9.96234105015512e-05	0.095959974396975	8	8	8	1	8	1	0	3.59360741812698	5.12384768345596	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	SPATA2L	2.15248008759836	0.000106010978709306	0.095959974396975	8	8	8	1	8	1	0	1.90829733640275	2.47558357735879	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	F2RL3	2.48197515366811	0.000107115331979436	0.095959974396975	8	8	8	1	8	1	0	2.20730439199539	3.07460890746463	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	INPP1	0.947404111891522	0.000116099593669621	0.095959974396975	8	8	8	1	8	1	0	0.849199262485786	1.03411450584892	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	CYR61	1.47792279135784	0.000124983888896781	0.095959974396975	8	8	8	1	8	1	0	1.28906585117208	1.70824584394291	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	KDM6B	1.90976646927795	0.000128438927341247	0.095959974396975	8	8	8	1	8	0	0	1.71266513958789	2.03900543166322	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	AXIN2	2.17586410408255	0.000131993441934114	0.095959974396975	8	8	8	1	8	0	0	1.89963531919953	2.45179961296072	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	PGF	1.60501396080802	0.000133915854887756	0.095959974396975	8	8	8	1	8	0	0	1.34337536999077	1.81397169271096	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	RASSF10	-1.85538275999428	0.00013482032931936	0.095959974396975	8	8	8	1	8	0	0	-2.08463819311466	-1.41767383069643	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	NR4A1	2.64980433825457	0.000145711406978349	0.096418707613056	8	8	8	1	8	1	0	2.39272345504386	3.12672207146546	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	MYCN	-2.25652328368477	0.000161175823347136	0.096418707613056	8	8	8	1	8	1	0	-2.5698289747412	-1.81816675550886	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	CEMIP	5.11848760799507	0.000161192568309868	0.096418707613056	8	8	8	1	8	0	0	4.55388774892635	5.91852427152359	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	EGR2	3.63830197284797	0.000161267658414826	0.096418707613056	8	8	8	1	8	1	0	3.32364242104893	4.40482434692305	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Endothelial	organic_ED_vs_normal	CCDC173	2.87379144640393	0.000171287499650902	0.0984705483570012	8	8	8	1	8	0	0	2.69148166567482	3.08290811534988	DMED1,DMED2,ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	AREG	5.98996671037323	1.63003620652602e-06	0.0167886666856756	3	3	3	1	3	3	1	5.77621395702543	6.45743309708629	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	NR4A2	2.76802799400572	2.25363120498907e-06	0.0167886666856756	3	3	3	1	3	3	1	2.6848195982037	2.85382543277286	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	FILIP1L	3.04645473179974	3.90335707718749e-06	0.0167886666856756	3	3	3	1	3	2	1	2.95477117073644	3.17274535552984	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	NR4A3	5.54127524412666	4.67531589716879e-06	0.0167886666856756	3	3	3	1	3	3	1	5.19175434600046	6.09824283597829	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	ERAP2	-4.07229429713718	5.75453605359167e-06	0.0167886666856756	3	3	3	1	3	3	1	-4.27509105472669	-3.74229536006602	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	NCALD	3.05145906901153	6.44313676052535e-06	0.0167886666856756	3	3	3	1	3	2	1	2.91527044712289	3.14323368560428	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	DLX5	-2.50962608944302	1.22768804913012e-05	0.0274195356572862	3	3	3	1	3	2	1	-2.59567041117072	-2.42845125347005	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	DUSP8	3.3661237870397	1.74069520132553e-05	0.0340175359719041	3	3	3	1	3	2	1	3.05536737054932	3.72268380523488	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	ZC3H12A	3.14459204490105	2.91000165811517e-05	0.0466332048601497	3	3	3	1	3	0	0	2.97412983035481	3.25016019278757	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	ETS2	1.93973320388557	2.9828070142094e-05	0.0466332048601497	3	3	3	1	3	1	0	1.83792216734682	2.05065211362506	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	GPRC5A	2.39694112320542	4.41997479836907e-05	0.0628198963615473	3	3	3	1	3	0	0	2.18119632833232	2.59124507671725	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	DUSP5	3.89869899452133	5.95309404287335e-05	0.0743474200552415	3	3	3	1	3	0	0	3.64892658749817	4.15672256616178	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	DLX6	-2.96181353067824	6.18214443340246e-05	0.0743474200552415	3	3	3	1	3	1	1	-3.19037417900074	-2.76277183673433	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	NR4A1	3.38929116900057	7.14273830452105e-05	0.0797639790377729	3	3	3	1	3	1	1	3.10607491616372	3.96959654991144	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	FAM83D	3.95542749557177	8.41726905677068e-05	0.0846928834834485	3	3	3	1	3	0	0	3.68010030629412	4.42164318609239	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	MECOM	-3.1901650213104	8.66755875486233e-05	0.0846928834834485	3	3	3	1	3	0	0	-3.26244070408703	-3.13970101199424	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	EGR3	2.53911802515787	9.55375688118228e-05	0.0878608441649434	3	3	3	1	3	0	0	2.42366528165204	2.74037079267898	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	diabetic_ED_vs_normal	ARG2	3.26899701007943	0.000105821814984106	0.0919121253034172	3	3	3	1	3	0	0	3.24038385882664	3.33763351442776	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	BMPER	2.48366124347007	6.19075182328838e-07	0.00569950968345931	6	6	6	1	6	6	5	2.41195138400578	2.53214713703981	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	AIF1L	3.34577724947051	7.42220299968656e-07	0.00569950968345931	6	6	6	1	6	6	5	3.16709353073612	3.50990387563399	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Fibroblast	non_diabetic_ED_vs_normal	CALB1	4.42901294478315	3.81197333542257e-06	0.0195147621618066	6	6	6	1	6	5	3	4.22203107388909	4.63770010026954	ED1,ED2,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
