cell_type	comparison	gene_symbol	full_logFC	full_PValue	full_FDR	n_lodo_runnable	n_lodo_gene_tested	n_lodo_same_direction	fraction_lodo_same_direction	n_lodo_nominal_0_05	n_lodo_FDR_0_10	n_lodo_FDR_0_05	min_lodo_logFC	max_lodo_logFC	leave_out_donors	stable_direction_all_lodo	gene_tested_all_lodo	stable_tested_direction_all_lodo	stable_direction_min_80pct	retained_nominal_signal_any_lodo	direction	program_ids	has_curated_program
Endothelial	diabetic_ED_vs_normal	HLA-DQA2	-9.54303479215806	5.29281667559496e-07	0.0078254294548671	3	3	3	1.0	3	3	3	-9.8435737995077	-9.06353566282528	N1,N2,N3	True	True	True	True	True	down_in_ED	inflammation_antigen_presentation	True
Endothelial	non_diabetic_ED_vs_normal	CA4	5.4525001055868	1.76272453480246e-06	0.0258133380876472	6	6	6	1.0	6	5	1	5.01697639541545	6.01990223857434	ED1,ED2,ED3,N1,N2,N3	True	True	True	True	True	up_in_ED	endothelial_no_angiogenesis	True
Fibroblast	diabetic_ED_vs_normal	AREG	5.98996671037323	1.63003620652602e-06	0.0167886666856756	3	3	3	1.0	3	3	1	5.77621395702543	6.45743309708629	N1,N2,N3	True	True	True	True	True	up_in_ED	diabetes_age_metabolic	True
Fibroblast	diabetic_ED_vs_normal	NR4A2	2.76802799400572	2.25363120498907e-06	0.0167886666856756	3	3	3	1.0	3	3	1	2.6848195982037	2.85382543277286	N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Fibroblast	diabetic_ED_vs_normal	FILIP1L	3.04645473179974	3.90335707718749e-06	0.0167886666856756	3	3	3	1.0	3	2	1	2.95477117073644	3.17274535552984	N1,N2,N3	True	True	True	True	True	up_in_ED	diabetes_age_metabolic	True
Fibroblast	diabetic_ED_vs_normal	NR4A3	5.54127524412666	4.67531589716879e-06	0.0167886666856756	3	3	3	1.0	3	3	1	5.19175434600046	6.09824283597829	N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
Fibroblast	diabetic_ED_vs_normal	ERAP2	-4.07229429713718	5.75453605359167e-06	0.0167886666856756	3	3	3	1.0	3	3	1	-4.27509105472669	-3.74229536006602	N1,N2,N3	True	True	True	True	True	down_in_ED	diabetes_age_metabolic	True
Fibroblast	diabetic_ED_vs_normal	NCALD	3.05145906901153	6.44313676052535e-06	0.0167886666856756	3	3	3	1.0	3	2	1	2.91527044712289	3.14323368560428	N1,N2,N3	True	True	True	True	True	up_in_ED		False
Fibroblast	diabetic_ED_vs_normal	DLX5	-2.50962608944302	1.22768804913012e-05	0.0274195356572862	3	3	3	1.0	3	2	1	-2.59567041117072	-2.42845125347005	N1,N2,N3	True	True	True	True	True	down_in_ED		False
Fibroblast	diabetic_ED_vs_normal	DUSP8	3.3661237870397	1.74069520132553e-05	0.0340175359719041	3	3	3	1.0	3	2	1	3.05536737054932	3.72268380523488	N1,N2,N3	True	True	True	True	True	up_in_ED	immediate_early_stress	True
