cell_type	comparison	gene_symbol	direction	full_logFC	full_FDR	program_id	program_label	program_family	source_status
Endothelial	diabetic_ED_vs_normal	HLA-DQA2	down_in_ED	-9.54303479215806	0.0078254294548671	inflammation_antigen_presentation	Inflammation and antigen presentation	immune	curated_analysis_set
Endothelial	non_diabetic_ED_vs_normal	CA4	up_in_ED	5.4525001055868	0.0258133380876472	endothelial_no_angiogenesis	Endothelial, NO/cGMP, and angiogenesis	vascular	curated_analysis_set
Fibroblast	diabetic_ED_vs_normal	AREG	up_in_ED	5.98996671037323	0.0167886666856756	diabetes_age_metabolic	Diabetes/AGE and metabolic remodeling	metabolism	curated_analysis_set
Fibroblast	diabetic_ED_vs_normal	NR4A2	up_in_ED	2.76802799400572	0.0167886666856756	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Fibroblast	diabetic_ED_vs_normal	FILIP1L	up_in_ED	3.04645473179974	0.0167886666856756	diabetes_age_metabolic	Diabetes/AGE and metabolic remodeling	metabolism	curated_analysis_set
Fibroblast	diabetic_ED_vs_normal	NR4A3	up_in_ED	5.54127524412666	0.0167886666856756	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Fibroblast	diabetic_ED_vs_normal	ERAP2	down_in_ED	-4.07229429713718	0.0167886666856756	diabetes_age_metabolic	Diabetes/AGE and metabolic remodeling	metabolism	curated_analysis_set
Fibroblast	diabetic_ED_vs_normal	DUSP8	up_in_ED	3.3661237870397	0.0340175359719041	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	PDE3B	up_in_ED	2.98066489232656	0.0278880628665795	smooth_muscle_contractility	Smooth-muscle contractility and relaxation	contractility	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	ATP1A2	up_in_ED	1.93301609196803	0.0278880628665795	smooth_muscle_contractility	Smooth-muscle contractility and relaxation	contractility	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	NR4A2	up_in_ED	1.98705253193218	0.0278880628665795	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	COL4A6	up_in_ED	1.99045118638524	0.0354180167129558	ecm_fibrosis	ECM and fibrosis	remodeling	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	EFNB2	up_in_ED	1.7773255479434	0.0355098403662652	endothelial_no_angiogenesis	Endothelial, NO/cGMP, and angiogenesis	vascular	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	PDK4	up_in_ED	3.09036533633312	0.0388481637518955	hypoxia_oxidative_metabolism	Hypoxia, oxidative stress, and metabolic shift	metabolism	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	PDK4	up_in_ED	3.09036533633312	0.0388481637518955	diabetes_age_metabolic	Diabetes/AGE and metabolic remodeling	metabolism	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	COL4A5	up_in_ED	1.59564695918892	0.0422828157926761	ecm_fibrosis	ECM and fibrosis	remodeling	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	DUSP8	up_in_ED	3.15190390074915	0.0422828157926761	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	DUSP5	up_in_ED	3.56953359202299	0.0441806582223546	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Fibroblast	non_diabetic_ED_vs_normal	ADAMTS1	up_in_ED	3.16340268606135	0.0469652215971461	ecm_fibrosis	ECM and fibrosis	remodeling	curated_analysis_set
Fibroblast	organic_ED_vs_normal	GREM1	down_in_ED	-7.56152902843581	0.0109537703928927	tgfb_wnt_hippo	TGF-beta, Wnt, and Hippo signaling	mechanotransduction	curated_analysis_set
Fibroblast	organic_ED_vs_normal	DUSP8	up_in_ED	3.24875072828162	0.0170151585304448	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Fibroblast	organic_ED_vs_normal	NR4A2	up_in_ED	2.35273577224672	0.0258315518679054	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Fibroblast	organic_ED_vs_normal	NR4A1	up_in_ED	3.09862893423336	0.0258315518679054	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Fibroblast	organic_ED_vs_normal	ADAMTS1	up_in_ED	2.94335588638802	0.0426738879562404	ecm_fibrosis	ECM and fibrosis	remodeling	curated_analysis_set
Fibroblast	organic_ED_vs_normal	DUSP5	up_in_ED	3.71803054324018	0.0426738879562404	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Macrophage	diabetic_ED_vs_normal	HLA-DQA2	down_in_ED	-8.1833439856146	0.0061249301759506	inflammation_antigen_presentation	Inflammation and antigen presentation	immune	curated_analysis_set
Macrophage	non_diabetic_ED_vs_normal	HLA-DQA2	down_in_ED	-8.87601905517534	0.0068510634614971	inflammation_antigen_presentation	Inflammation and antigen presentation	immune	curated_analysis_set
Macrophage	organic_ED_vs_normal	HLA-DQA2	down_in_ED	-8.40541908148024	3.99170183614444e-05	inflammation_antigen_presentation	Inflammation and antigen presentation	immune	curated_analysis_set
Mural	diabetic_ED_vs_normal	ERAP2	down_in_ED	-4.07416883361962	0.0310333164396307	diabetes_age_metabolic	Diabetes/AGE and metabolic remodeling	metabolism	curated_analysis_set
Mural	diabetic_ED_vs_normal	DUSP5	up_in_ED	3.55450969066455	0.0310333164396307	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Mural	diabetic_ED_vs_normal	ABCC9	down_in_ED	-2.62902657458597	0.0310333164396307	smooth_muscle_contractility	Smooth-muscle contractility and relaxation	contractility	curated_analysis_set
Mural	diabetic_ED_vs_normal	GUCY1A2	down_in_ED	-2.18078661550501	0.0417670389148131	endothelial_no_angiogenesis	Endothelial, NO/cGMP, and angiogenesis	vascular	curated_analysis_set
Mural	diabetic_ED_vs_normal	GUCY1A2	down_in_ED	-2.18078661550501	0.0417670389148131	smooth_muscle_contractility	Smooth-muscle contractility and relaxation	contractility	curated_analysis_set
Mural	diabetic_ED_vs_normal	THBS1	up_in_ED	3.57087971665322	0.0417670389148131	ecm_fibrosis	ECM and fibrosis	remodeling	curated_analysis_set
Mural	diabetic_ED_vs_normal	HSPB8	up_in_ED	2.360683049453	0.0417670389148131	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Mural	diabetic_ED_vs_normal	NR4A3	up_in_ED	4.67005139925669	0.0417670389148131	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Mural	organic_ED_vs_normal	GUCY1A2	down_in_ED	-1.9337334368287	0.0171043739925219	endothelial_no_angiogenesis	Endothelial, NO/cGMP, and angiogenesis	vascular	curated_analysis_set
Mural	organic_ED_vs_normal	GUCY1A2	down_in_ED	-1.9337334368287	0.0171043739925219	smooth_muscle_contractility	Smooth-muscle contractility and relaxation	contractility	curated_analysis_set
Mural	organic_ED_vs_normal	CYR61	up_in_ED	2.16519819618929	0.0335932596756764	tgfb_wnt_hippo	TGF-beta, Wnt, and Hippo signaling	mechanotransduction	curated_analysis_set
Mural	organic_ED_vs_normal	CYR61	up_in_ED	2.16519819618929	0.0335932596756764	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Mural	organic_ED_vs_normal	KCNMB1	up_in_ED	1.2566623186827	0.0335932596756764	smooth_muscle_contractility	Smooth-muscle contractility and relaxation	contractility	curated_analysis_set
Mural	organic_ED_vs_normal	DUSP5	up_in_ED	3.52099276849004	0.0375859396222189	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Mural	organic_ED_vs_normal	HSPB8	up_in_ED	1.9276254606075	0.0412512815209784	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
Mural	organic_ED_vs_normal	COL1A1	down_in_ED	-1.8454805684873	0.0486409711866157	ecm_fibrosis	ECM and fibrosis	remodeling	curated_analysis_set
T_cell	diabetic_ED_vs_normal	HLA-DQA2	down_in_ED	-9.01262271392592	0.0401197838214589	inflammation_antigen_presentation	Inflammation and antigen presentation	immune	curated_analysis_set
T_cell	diabetic_ED_vs_normal	HSPB8	up_in_ED	3.25128899174706	0.0401197838214589	immediate_early_stress	Immediate-early, AP-1, and stress response	stress	curated_analysis_set
