gene_symbol	pseudobulk_id	donor_id	ed_subgroup	display_group	n_cells	log2_cpm	logFC_diabetic_ED_vs_normal	edgeR_logCPM	PValue	FDR
ADAMTS4	N1__Pericyte_like	N1	normal	Normal	203	3.656670685190443	4.19494894732916	6.8575216429321	7.84192223470932e-07	0.0035820474536285
ADAMTS4	N2__Pericyte_like	N2	normal	Normal	106	4.12186544963802	4.19494894732916	6.8575216429321	7.84192223470932e-07	0.0035820474536285
ADAMTS4	N3__Pericyte_like	N3	normal	Normal	244	3.747535475434439	4.19494894732916	6.8575216429321	7.84192223470932e-07	0.0035820474536285
ADAMTS4	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	6.803784795073283	4.19494894732916	6.8575216429321	7.84192223470932e-07	0.0035820474536285
ADAMTS4	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	8.56731291429768	4.19494894732916	6.8575216429321	7.84192223470932e-07	0.0035820474536285
NR4A3	N1__Pericyte_like	N1	normal	Normal	203	3.100277336666058	3.95583264539962	5.54587964668229	1.10374762149339e-06	0.0035820474536285
NR4A3	N2__Pericyte_like	N2	normal	Normal	106	2.3563307032750425	3.95583264539962	5.54587964668229	1.10374762149339e-06	0.0035820474536285
NR4A3	N3__Pericyte_like	N3	normal	Normal	244	2.3938985208197385	3.95583264539962	5.54587964668229	1.10374762149339e-06	0.0035820474536285
NR4A3	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	5.90831537854459	3.95583264539962	5.54587964668229	1.10374762149339e-06	0.0035820474536285
NR4A3	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	7.007789020477747	3.95583264539962	5.54587964668229	1.10374762149339e-06	0.0035820474536285
IL6	N1__Pericyte_like	N1	normal	Normal	203	1.3347425903030807	4.6866998230421	5.52974924170091	1.28174407930411e-06	0.0035820474536285
IL6	N2__Pericyte_like	N2	normal	Normal	106	3.493834227024977	4.6866998230421	5.52974924170091	1.28174407930411e-06	0.0035820474536285
IL6	N3__Pericyte_like	N3	normal	Normal	244	0.8089360200985825	4.6866998230421	5.52974924170091	1.28174407930411e-06	0.0035820474536285
IL6	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	5.90831537854459	4.6866998230421	5.52974924170091	1.28174407930411e-06	0.0035820474536285
IL6	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	7.039850229710046	4.6866998230421	5.52974924170091	1.28174407930411e-06	0.0035820474536285
PI15	N1__Pericyte_like	N1	normal	Normal	203	1.8201694174733225	3.6853314227566	4.45194980195143	2.59876050372768e-06	0.0054470020158132
PI15	N2__Pericyte_like	N2	normal	Normal	106	1.6193651091088364	3.6853314227566	4.45194980195143	2.59876050372768e-06	0.0054470020158132
PI15	N3__Pericyte_like	N3	normal	Normal	244	2.0313284414350306	3.6853314227566	4.45194980195143	2.59876050372768e-06	0.0054470020158132
PI15	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	5.0415819094080545	3.6853314227566	4.45194980195143	2.59876050372768e-06	0.0054470020158132
PI15	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	5.605304571541988	3.6853314227566	4.45194980195143	2.59876050372768e-06	0.0054470020158132
PLA2G2A	N1__Pericyte_like	N1	normal	Normal	203	2.182739496858031	3.66087810935056	6.81799622302207	4.77376501811981e-06	0.0080046491823832
PLA2G2A	N2__Pericyte_like	N2	normal	Normal	106	5.078796727746133	3.66087810935056	6.81799622302207	4.77376501811981e-06	0.0080046491823832
PLA2G2A	N3__Pericyte_like	N3	normal	Normal	244	4.650238274079524	3.66087810935056	6.81799622302207	4.77376501811981e-06	0.0080046491823832
PLA2G2A	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	8.26700202344207	3.66087810935056	6.81799622302207	4.77376501811981e-06	0.0080046491823832
PLA2G2A	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	7.442948115677364	3.66087810935056	6.81799622302207	4.77376501811981e-06	0.0080046491823832
SH3BP5	N1__Pericyte_like	N1	normal	Normal	203	4.794174208940378	2.78686638617908	6.27820848526925	9.57884683203718e-06	0.0133848419732999
SH3BP5	N2__Pericyte_like	N2	normal	Normal	106	4.282330121831265	2.78686638617908	6.27820848526925	9.57884683203718e-06	0.0133848419732999
SH3BP5	N3__Pericyte_like	N3	normal	Normal	244	4.081954514504998	2.78686638617908	6.27820848526925	9.57884683203718e-06	0.0133848419732999
SH3BP5	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	7.695586054558862	2.78686638617908	6.27820848526925	9.57884683203718e-06	0.0133848419732999
SH3BP5	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	6.598144779969122	2.78686638617908	6.27820848526925	9.57884683203718e-06	0.0133848419732999
MT1A	N1__Pericyte_like	N1	normal	Normal	203	6.6494391159593675	2.80556449196479	7.91270922003989	1.9186049184508e-05	0.0215447647591949
MT1A	N2__Pericyte_like	N2	normal	Normal	106	5.9651399459505665	2.80556449196479	7.91270922003989	1.9186049184508e-05	0.0215447647591949
MT1A	N3__Pericyte_like	N3	normal	Normal	244	5.154710856940312	2.80556449196479	7.91270922003989	1.9186049184508e-05	0.0215447647591949
MT1A	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	8.974636085498227	2.80556449196479	7.91270922003989	1.9186049184508e-05	0.0215447647591949
MT1A	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	8.81899832644938	2.80556449196479	7.91270922003989	1.9186049184508e-05	0.0215447647591949
NR4A2	N1__Pericyte_like	N1	normal	Normal	203	3.4051319181944786	3.19462318338481	6.0696097862424	2.05579816404532e-05	0.0215447647591949
NR4A2	N2__Pericyte_like	N2	normal	Normal	106	4.557964564444693	3.19462318338481	6.0696097862424	2.05579816404532e-05	0.0215447647591949
NR4A2	N3__Pericyte_like	N3	normal	Normal	244	3.747535475434439	3.19462318338481	6.0696097862424	2.05579816404532e-05	0.0215447647591949
NR4A2	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	5.812100063285286	3.19462318338481	6.0696097862424	2.05579816404532e-05	0.0215447647591949
NR4A2	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	7.6578995224895445	3.19462318338481	6.0696097862424	2.05579816404532e-05	0.0215447647591949
ERAP2	N1__Pericyte_like	N1	normal	Normal	203	4.5674033470933555	-3.63303730128362	4.38504402912665	2.37988923881802e-05	0.0220113606267881
ERAP2	N2__Pericyte_like	N2	normal	Normal	106	4.678258798162405	-3.63303730128362	4.38504402912665	2.37988923881802e-05	0.0220113606267881
ERAP2	N3__Pericyte_like	N3	normal	Normal	244	5.290062709835198	-3.63303730128362	4.38504402912665	2.37988923881802e-05	0.0220113606267881
ERAP2	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	0.9541190681577146	-3.63303730128362	4.38504402912665	2.37988923881802e-05	0.0220113606267881
ERAP2	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	1.7544480108477973	-3.63303730128362	4.38504402912665	2.37988923881802e-05	0.0220113606267881
NR4A1	N1__Pericyte_like	N1	normal	Normal	203	5.642171115495328	2.97628852226847	8.42842803731491	2.6254008381188e-05	0.0220113606267881
NR4A1	N2__Pericyte_like	N2	normal	Normal	106	7.469030836024404	2.97628852226847	8.42842803731491	2.6254008381188e-05	0.0220113606267881
NR4A1	N3__Pericyte_like	N3	normal	Normal	244	5.882185002129221	2.97628852226847	8.42842803731491	2.6254008381188e-05	0.0220113606267881
NR4A1	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	8.874968121356153	2.97628852226847	8.42842803731491	2.6254008381188e-05	0.0220113606267881
NR4A1	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	9.816686932030978	2.97628852226847	8.42842803731491	2.6254008381188e-05	0.0220113606267881
CYR61	N1__Pericyte_like	N1	normal	Normal	203	5.699315022598936	2.41411122597973	7.58587202968645	4.6160050257688e-05	0.0351823510327688
CYR61	N2__Pericyte_like	N2	normal	Normal	106	6.9292203716956235	2.41411122597973	7.58587202968645	4.6160050257688e-05	0.0351823510327688
CYR61	N3__Pericyte_like	N3	normal	Normal	244	5.3324979761555955	2.41411122597973	7.58587202968645	4.6160050257688e-05	0.0351823510327688
CYR61	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	8.805868109573773	2.41411122597973	7.58587202968645	4.6160050257688e-05	0.0351823510327688
CYR61	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	8.114511234621931	2.41411122597973	7.58587202968645	4.6160050257688e-05	0.0351823510327688
RGS16	N1__Pericyte_like	N1	normal	Normal	203	4.8954575447775595	2.4128744373486	6.62949047735116	6.98595367453169e-05	0.0488085296727281
RGS16	N2__Pericyte_like	N2	normal	Normal	106	5.588991460065317	2.4128744373486	6.62949047735116	6.98595367453169e-05	0.0488085296727281
RGS16	N3__Pericyte_like	N3	normal	Normal	244	4.838683363492635	2.4128744373486	6.62949047735116	6.98595367453169e-05	0.0488085296727281
RGS16	DMED1__Pericyte_like	DMED1	diabetic_ED	Diabetic ED	177	6.568828912272923	2.4128744373486	6.62949047735116	6.98595367453169e-05	0.0488085296727281
RGS16	DMED2__Pericyte_like	DMED2	diabetic_ED	Diabetic ED	255	8.0212345515427	2.4128744373486	6.62949047735116	6.98595367453169e-05	0.0488085296727281
