gene_symbol,lfc_diab_ED_vs_normal,p_diab_ED_vs_normal,padj_diab_ED_vs_normal,lfc_nondiab_ED_vs_normal,p_nondiab_ED_vs_normal,padj_nondiab_ED_vs_normal,lfc_diab_ED_vs_nondiab_ED,p_diab_ED_vs_nondiab_ED,padj_diab_ED_vs_nondiab_ED,class,edgeR_logFC_DvN,edgeR_FDR_DvN
IL6,4.58732759039,0.0103136640287,0.999975715812,3.92952348759,0.0156497467851,0.936090032823,0.657804102802,0.704617316833,0.999961991525,shared-ED,4.68669982304,0.00358204745363
ADAMTS4,4.19323040695,,,3.998866224,,,0.194364182959,,,ambiguous,4.19494894733,0.00358204745363
PLA2G2A,3.64656974276,0.000610079710717,0.513768460385,3.28447483567,0.000648793788966,0.175684950887,0.362094907094,0.729681893042,0.999961991525,shared-ED,3.66087810935,0.00800464918238
CYR61,2.39792639712,0.0257761066911,0.999975715812,3.23201301763,0.000804990871155,0.192472105818,-0.834086620515,0.436172026255,0.999961991525,shared-ED,2.41411122598,0.0351823510328
PI15,3.74688156187,8.64698331477e-06,0.0273071733081,3.48673880883,2.18551566721e-05,0.0236909898326,0.260142753039,0.705293571822,0.999961991525,shared-ED,3.68533142276,0.00544700201581
NR4A1,2.96596632862,3.51543734817e-07,0.00148023348607,1.86088137553,0.000446381287517,0.13825066162,1.10508495309,0.0570570257966,0.999961991525,shared-ED,2.97628852227,0.0220113606268
NR4A2,3.17150670402,0.00447213819035,0.999975715812,2.11466507891,0.0386777849259,0.999429201662,1.05684162511,0.339509686024,0.999961991525,shared-ED,3.19462318338,0.0215447647592
NR4A3,3.98408533457,3.48607708137e-08,0.000440361256919,1.20898112917,0.112233785293,0.999429201662,2.77510420541,9.94702106226e-05,0.179501100084,diabetes-associated,3.9558326454,0.00358204745363
MT1A,2.79886057463,,,2.81110884854,,,-0.0122482739118,,,ambiguous,2.80556449196,0.0215447647592
RGS16,2.3953550543,,,2.54613912413,,,-0.150784069832,,,ambiguous,2.41287443735,0.0488085296727
SH3BP5,2.7885678291,1.36812446189e-07,0.000864107410132,-0.204522967029,0.721115156211,0.999429201662,2.99309079613,2.66762217283e-07,0.00168487016436,diabetes-associated,2.78686638618,0.0133848419733
ERAP2,-3.72807323209,5.98135826667e-05,0.0944456470307,-0.215286878706,0.719757307366,0.999429201662,-3.51278635339,0.000241727965877,0.305350766496,diabetes-associated,-3.63303730128,0.0220113606268
