,GSE259348_DMED
RP11-34P13.3,0
FAM138A,0
OR4F5,0
RP11-34P13.7,2
RP11-34P13.8,0
RP11-34P13.14,0
RP11-34P13.9,0
FO538757.3,0
FO538757.2,82
AP006222.2,95
RP5-857K21.15,0
RP4-669L17.2,0
RP4-669L17.10,6
OR4F29,0
RP5-857K21.4,81
RP5-857K21.2,0
OR4F16,0
RP11-206L10.4,0
RP11-206L10.9,73
FAM87B,2
LINC00115,7
FAM41C,3
RP11-54O7.16,8
RP11-54O7.1,0
RP11-54O7.2,0
RP11-54O7.3,0
SAMD11,3
NOC2L,122
KLHL17,16
PLEKHN1,3
PERM1,11
RP11-54O7.17,38
HES4,1584
ISG15,268
RP11-54O7.11,0
AGRN,80
RP11-54O7.18,0
RNF223,0
C1orf159,64
LINC01342,0
RP11-465B22.8,0
TTLL10-AS1,0
TTLL10,0
TNFRSF18,0
TNFRSF4,0
SDF4,290
B3GALT6,38
FAM132A,2
RP5-902P8.12,0
UBE2J2,174
RP5-902P8.10,3
SCNN1D,6
ACAP3,46
PUSL1,18
CPSF3L,222
CPTP,50
TAS1R3,0
DVL1,61
MXRA8,351
AURKAIP1,596
CCNL2,227
MRPL20,772
RP4-758J18.13,0
ANKRD65,8
RP4-758J18.7,0
TMEM88B,0
RP4-758J18.10,0
VWA1,73
ATAD3C,1
ATAD3B,21
ATAD3A,46
TMEM240,7
SSU72,336
RP5-832C2.5,18
AL645728.1,0
C1orf233,1
RP11-345P4.9,22
MIB2,63
MMP23B,53
CDK11B,250
RP11-345P4.10,1
SLC35E2B,144
RP11-345P4.7,2
CDK11A,148
SLC35E2,30
NADK,125
GNB1,709
RP1-140A9.1,1
CALML6,37
TMEM52,13
CFAP74,3
RP11-547D24.1,0
GABRD,4
RP11-547D24.3,0
PRKCZ,18
RP5-892K4.1,2
RP11-181G12.2,3
FAAP20,343
RP11-181G12.4,5
SKI,386
MORN1,35
RER1,396
PEX10,54
PLCH2,0
RP3-395M20.2,0
RP3-395M20.3,0
PANK4,40
HES5,27
RP3-395M20.12,102
RP3-395M20.8,6
TNFRSF14,100
RP3-395M20.9,0
FAM213B,21
MMEL1,1
RP13-436F16.1,0
TTC34,2
RP11-740P5.2,0
RP11-740P5.3,0
ACTRT2,0
LINC00982,40
PRDM16,323
RP1-163G9.2,0
RP11-22L13.1,1
ARHGEF16,5
RP11-168F9.2,0
MEGF6,2
RP11-46F15.2,0
TPRG1L,149
WRAP73,47
TP73,2
RP5-1092A11.5,0
RP5-1092A11.2,0
TP73-AS1,44
CCDC27,0
SMIM1,16
LRRC47,109
RP1-286D6.5,1
CEP104,132
DFFB,22
C1orf174,91
LINC01134,1
LINC01346,0
RP13-614K11.2,0
RP5-1166F10.1,0
RP1-37J18.1,0
RP1-37J18.2,0
AJAP1,7
RP11-542C10.1,0
RP1-58B11.1,0
RP11-154H17.1,0
NPHP4,71
KCNAB2,21
CHD5,47
RPL22,6186
RP1-120G22.11,0
RNF207,22
ICMT,128
LINC00337,0
HES3,0
GPR153,21
ACOT7,55
RP1-202O8.3,6
HES2,0
ESPN,1
RP1-202O8.2,0
TNFRSF25,5
PLEKHG5,18
NOL9,89
TAS1R1,6
ZBTB48,48
KLHL21,80
PHF13,75
THAP3,94
DNAJC11,110
RP11-242F24.1,0
RP11-312B8.1,30
CAMTA1,1218
RP11-334N17.1,0
RP3-453P22.2,0
RP4-549F15.1,0
RP11-338N10.1,1
RP11-338N10.2,2
RP11-338N10.3,2
VAMP3,363
PER3,170
RP3-467L1.4,5
UTS2,0
TNFRSF9,0
PARK7,1764
ERRFI1,358
RP11-431K24.1,15
RP11-431K24.3,1
RP11-431K24.4,0
SLC45A1,23
RERE,1160
RP5-1115A15.1,7
RP4-633I8.4,0
ENO1,605
ENO1-AS1,1
CA6,0
SLC2A7,0
SLC2A5,3
GPR157,31
MIR34AHG,31
RP3-510D11.2,24
RP3-510D11.4,0
H6PD,126
SPSB1,105
RP13-392I16.1,1
SLC25A33,307
TMEM201,16
PIK3CD,23
PIK3CD-AS1,0
PIK3CD-AS2,27
CLSTN1,235
AL357140.1,0
CTNNBIP1,91
RP11-84A14.5,0
LZIC,288
NMNAT1,66
RBP7,11
UBE4B,314
KIF1B,620
PGD,54
RP4-736L20.3,0
APITD1-CORT,1
APITD1,20
CORT,0
DFFA,156
RP5-1113E3.3,0
PEX14,156
CASZ1,48
RP4-734G22.3,7
C1orf127,0
TARDBP,165
RP4-635E18.9,4
MASP2,3
RP4-635E18.8,3
SRM,248
EXOSC10,138
RP4-635E18.7,6
RP4-635E18.6,0
MTOR,149
MTOR-AS1,1
ANGPTL7,0
UBIAD1,45
PTCHD2,0
RP1-69M21.2,0
FBXO2,26
FBXO44,58
FBXO6,15
MAD2L2,62
DRAXIN,0
AGTRAP,70
C1orf167,16
RP11-56N19.5,0
