comparison,gene_symbol,gene_class,logFC,logCPM,F,PValue,FDR,reference_level,test_level,n_samples,n_genes_tested,group_summary
diabetic_ED_vs_non_diabetic_ED,IL6,shared-ED,0.614615037639859,6.46442095711172,0.201118291390089,0.672290543874569,0.998739971011637,non_diabetic_ED,diabetic_ED,5,8013,non_diabetic_ED=3;diabetic_ED=2
diabetic_ED_vs_non_diabetic_ED,ADAMTS4,shared-ED,0.162304465498228,8.01826121522586,0.0116309504487454,0.918225586624782,0.998739971011637,non_diabetic_ED,diabetic_ED,5,8013,non_diabetic_ED=3;diabetic_ED=2
diabetic_ED_vs_non_diabetic_ED,PLA2G2A,shared-ED,0.277620149998764,7.88295453007966,0.192352769895777,0.671458868784734,0.998739971011637,non_diabetic_ED,diabetic_ED,5,8013,non_diabetic_ED=3;diabetic_ED=2
diabetic_ED_vs_non_diabetic_ED,CYR61,shared-ED,-0.855414876085938,9.16608079522886,0.771509873739721,0.410649610109225,0.998739971011637,non_diabetic_ED,diabetic_ED,5,8013,non_diabetic_ED=3;diabetic_ED=2
diabetic_ED_vs_non_diabetic_ED,PI15,shared-ED,0.233545169703683,5.45187632272807,0.13012220559855,0.725624035431254,0.998739971011637,non_diabetic_ED,diabetic_ED,5,8013,non_diabetic_ED=3;diabetic_ED=2
diabetic_ED_vs_non_diabetic_ED,SH3BP5,diabetes-associated-axis,2.96508379633927,6.44757029756688,52.1889167116957,2.22853590199529e-05,0.0892862909134412,non_diabetic_ED,diabetic_ED,5,8013,non_diabetic_ED=3;diabetic_ED=2
diabetic_ED_vs_non_diabetic_ED,ERAP2,diabetes-associated-axis,-3.41596765383951,4.08861976579903,18.8872903721528,0.00126100510548976,0.807927104286047,non_diabetic_ED,diabetic_ED,5,8013,non_diabetic_ED=3;diabetic_ED=2
diabetic_ED_vs_non_diabetic_ED,RGS16,stress/IEG,-0.181361744817727,7.74388940158813,0.0165725118679815,0.902484070583793,0.998739971011637,non_diabetic_ED,diabetic_ED,5,8013,non_diabetic_ED=3;diabetic_ED=2
diabetic_ED_vs_normal,IL6,shared-ED,4.6866998230421,5.52974924170091,62.0897697453157,1.28174407930411e-06,0.00358204745362855,normal,diabetic_ED,5,8384,normal=3;diabetic_ED=2
diabetic_ED_vs_normal,ADAMTS4,shared-ED,4.19494894732916,6.8575216429321,68.7582154406293,7.84192223470932e-07,0.00358204745362855,normal,diabetic_ED,5,8384,normal=3;diabetic_ED=2
diabetic_ED_vs_normal,PLA2G2A,shared-ED,3.66087810935056,6.81799622302207,50.3746084313215,4.77376501811981e-06,0.00800464918238329,normal,diabetic_ED,5,8384,normal=3;diabetic_ED=2
diabetic_ED_vs_normal,CYR61,shared-ED,2.41411122597973,7.58587202968645,33.0571554120234,4.6160050257688e-05,0.0351823510327688,normal,diabetic_ED,5,8384,normal=3;diabetic_ED=2
diabetic_ED_vs_normal,PI15,shared-ED,3.6853314227566,4.45194980195143,54.3880838243103,2.59876050372768e-06,0.00544700201581321,normal,diabetic_ED,5,8384,normal=3;diabetic_ED=2
diabetic_ED_vs_normal,SH3BP5,diabetes-associated-axis,2.78686638617908,6.27820848526925,44.4571115020654,9.57884683203718e-06,0.0133848419732999,normal,diabetic_ED,5,8384,normal=3;diabetic_ED=2
diabetic_ED_vs_normal,ERAP2,diabetes-associated-axis,-3.63303730128362,4.38504402912665,36.9906073908406,2.37988923881802e-05,0.0220113606267881,normal,diabetic_ED,5,8384,normal=3;diabetic_ED=2
diabetic_ED_vs_normal,RGS16,stress/IEG,2.4128744373486,6.62949047735116,30.4648339233627,6.98595367453169e-05,0.0488085296727281,normal,diabetic_ED,5,8384,normal=3;diabetic_ED=2
