gene,contrast,log2FoldChange,lfcSE,pvalue,padj
SH3BP5,diabetic_vs_untreated,-0.4153,0.1069,0.0001,0.0007
IL6,diabetic_vs_untreated,0.8844,0.237,0.0002,0.0012
PI15,diabetic_vs_untreated,1.1042,2.1425,0.6063,0.9631
CYR61,diabetic_vs_untreated,1.3601,0.2528,0.0,0.0
RGS16,diabetic_vs_untreated,1.1705,0.2884,0.0,0.0003
ADAMTS4,diabetic_vs_untreated,1.0497,0.2058,0.0,0.0
ERAP2,diabetic_vs_untreated,-0.0944,0.0854,0.2693,0.572
PLA2G2A,diabetic_vs_untreated,-1.2456,0.9609,0.1949,0.453
SH3BP5,diabetic_vs_mannitol,-0.5229,0.1069,0.0,0.0
IL6,diabetic_vs_mannitol,0.6412,0.2356,0.0065,0.0188
PI15,diabetic_vs_mannitol,0.1285,2.0484,0.95,
CYR61,diabetic_vs_mannitol,1.3828,0.2528,0.0,0.0
RGS16,diabetic_vs_mannitol,1.1507,0.2868,0.0001,0.0003
ADAMTS4,diabetic_vs_mannitol,0.9395,0.2057,0.0,0.0
ERAP2,diabetic_vs_mannitol,-0.1438,0.0854,0.0922,0.1744
PLA2G2A,diabetic_vs_mannitol,-0.699,0.9646,0.4687,0.6051
SH3BP5,mannitol_vs_untreated,0.1076,0.1069,0.314,0.9994
IL6,mannitol_vs_untreated,0.2433,0.2383,0.3073,0.9994
PI15,mannitol_vs_untreated,0.9757,2.1475,0.6496,0.9994
CYR61,mannitol_vs_untreated,-0.0227,0.2528,0.9286,0.9994
RGS16,mannitol_vs_untreated,0.0198,0.2924,0.9461,0.9994
ADAMTS4,mannitol_vs_untreated,0.1103,0.2061,0.5927,0.9994
ERAP2,mannitol_vs_untreated,0.0494,0.0854,0.563,0.9994
PLA2G2A,mannitol_vs_untreated,-0.5466,0.9464,0.5636,0.9994
