seed,SH3BP5_diab_minus_nonED,SH3BP5_DMED1,SH3BP5_DMED2,SH3BP5_ED1,SH3BP5_ED2,SH3BP5_ED3
0,0.5581,0.9108,0.4487,0.081,0.1053,0.1787
1,0.4852,0.7997,0.2771,0.0,0.1053,0.0543
2,0.3448,0.4817,0.3503,0.0513,0.1053,0.057
3,0.4217,0.8217,0.1364,0.0666,0.1053,0.0
4,0.5723,0.8275,0.3873,0.0,0.1053,0.0
5,0.0952,0.267,0.1448,0.0,0.1053,0.2267
6,0.305,0.6546,0.0916,0.0,0.1053,0.0989
7,0.338,0.538,0.2789,0.0,0.1053,0.1061
8,0.2017,0.2922,0.2669,0.081,0.1053,0.0472
9,0.3639,0.7498,0.1143,0.0,0.1053,0.0989
10,0.562,0.6823,0.5596,0.0,0.1053,0.0715
11,0.4908,0.6181,0.4337,0.0,0.1053,0.0
12,0.2779,0.3481,0.3138,0.0,0.1053,0.0539
13,0.3306,0.5735,0.1578,0.0,0.1053,0.0
14,0.3237,0.4594,0.3444,0.0513,0.1053,0.0779
15,0.4396,0.6535,0.3318,0.0,0.1053,0.0539
16,0.4862,0.8067,0.4151,0.081,0.1053,0.1876
17,0.3903,0.4071,0.5064,0.0,0.1053,0.094
18,0.5613,1.0479,0.306,0.081,0.1053,0.1606
19,0.3121,0.427,0.2674,0.0,0.1053,0.0
20,0.5184,0.7211,0.4378,0.0,0.1053,0.0779
21,0.39,0.4865,0.4404,0.0,0.1053,0.1152
22,0.2681,0.4584,0.2546,0.081,0.1053,0.0789
23,0.3054,0.5911,0.1771,0.0,0.1053,0.1307
24,0.4169,0.5797,0.3687,0.0666,0.1053,0.0
25,0.655,0.7628,0.6175,0.0,0.1053,0.0
26,0.7476,1.0783,0.4872,0.0,0.1053,0.0
27,0.5721,0.7274,0.6143,0.0666,0.1053,0.1243
28,0.1588,0.3673,0.1627,0.0513,0.1053,0.162
29,0.382,0.571,0.3354,0.0513,0.1053,0.057
30,0.1639,0.4269,0.1584,0.0666,0.1053,0.2142
31,0.5327,0.9194,0.2682,0.0,0.1053,0.0779
32,0.2613,0.469,0.1977,0.0,0.1053,0.1107
33,0.494,0.8337,0.2603,0.0,0.1053,0.0537
34,0.3785,0.3382,0.5334,0.0666,0.1053,0.0
35,0.2797,0.5868,0.1627,0.0,0.1053,0.1798
36,0.4905,0.8322,0.3732,0.1323,0.1053,0.0989
37,0.4769,0.7967,0.3557,0.0513,0.1053,0.1412
38,0.5614,1.0363,0.2942,0.1323,0.1053,0.0737
39,0.2246,0.417,0.2123,0.081,0.1053,0.0839
40,0.4317,0.9558,0.0957,0.0,0.1053,0.1768
41,0.4101,0.46,0.4844,0.081,0.1053,0.0
42,0.2588,0.6862,0.0,0.1476,0.1053,0.0
43,0.4445,0.6836,0.3625,0.0513,0.1053,0.0789
44,0.2281,0.4888,0.1962,0.081,0.1053,0.1569
45,0.5063,0.7827,0.4039,0.0513,0.1053,0.1044
46,0.3336,0.4922,0.2452,0.0,0.1053,0.0
47,0.2407,0.3911,0.2802,0.1323,0.1053,0.0472
48,0.2568,0.4777,0.2422,0.0,0.1053,0.2039
49,0.4532,0.7239,0.3921,0.0,0.1053,0.2092
50,0.2812,0.3143,0.4638,0.0513,0.1053,0.1671
51,0.4394,0.9315,0.0934,0.0666,0.1053,0.0472
52,0.5637,0.5672,0.7667,0.1476,0.1053,0.057
53,0.486,0.6155,0.463,0.0,0.1053,0.0543
54,0.2436,0.5567,0.0888,0.1323,0.1053,0.0
55,0.5068,0.6256,0.4583,0.0,0.1053,0.0
56,0.4089,0.664,0.3299,0.081,0.1053,0.0779
57,0.3316,0.4891,0.4269,0.081,0.1053,0.193
58,0.4296,0.7673,0.2248,0.0,0.1053,0.094
59,0.2323,0.4295,0.2522,0.0513,0.1053,0.169
60,0.3143,0.4973,0.2675,0.0,0.1053,0.0989
61,0.3253,0.4599,0.3956,0.1476,0.1053,0.0543
62,0.3513,0.6669,0.1402,0.0513,0.1053,0.0
63,0.3983,0.7741,0.1658,0.0,0.1053,0.1098
64,0.3789,0.7959,0.239,0.0666,0.1053,0.2436
65,0.3712,0.6146,0.3224,0.0513,0.1053,0.1353
66,0.4178,0.5745,0.379,0.0,0.1053,0.0715
67,0.4601,0.6579,0.3325,0.0,0.1053,0.0
68,0.4677,0.8156,0.2258,0.0,0.1053,0.0537
69,0.4933,0.698,0.3588,0.0,0.1053,0.0
70,0.3951,0.7227,0.2053,0.0,0.1053,0.1015
71,0.5781,0.7976,0.463,0.0513,0.1053,0.0
72,0.2186,0.3697,0.3286,0.1179,0.1053,0.1685
73,0.5383,0.9301,0.3403,0.081,0.1053,0.1044
74,0.4059,0.4965,0.3855,0.0,0.1053,0.0
75,0.3479,0.6421,0.1581,0.0513,0.1053,0.0
76,0.5427,0.7822,0.4076,0.0513,0.1053,0.0
77,0.4034,0.2336,0.6434,0.0,0.1053,0.0
78,0.3645,0.5423,0.403,0.0,0.1053,0.2191
79,0.4512,0.5519,0.5638,0.0666,0.1053,0.1479
80,0.3831,0.6547,0.3779,0.1179,0.1053,0.1765
81,0.5723,0.7694,0.5528,0.0513,0.1053,0.1098
82,0.4356,0.6973,0.2442,0.0,0.1053,0.0
83,0.5095,0.7179,0.4409,0.0,0.1053,0.1044
84,0.29,0.5042,0.2019,0.0,0.1053,0.0839
85,0.582,0.8207,0.4695,0.0,0.1053,0.0839
86,0.3322,0.5776,0.1569,0.0,0.1053,0.0
87,0.2665,0.5382,0.1932,0.0,0.1053,0.1922
88,0.476,0.8437,0.2485,0.0,0.1053,0.105
89,0.5101,0.7805,0.3639,0.081,0.1053,0.0
90,0.2965,0.4415,0.3254,0.0513,0.1053,0.1041
91,0.3872,0.4675,0.5414,0.0666,0.1053,0.1798
92,0.35,0.369,0.4371,0.0,0.1053,0.0537
93,0.3162,0.613,0.2547,0.081,0.1053,0.1667
94,0.5045,0.8081,0.3811,0.081,0.1053,0.0839
95,0.6203,1.2603,0.2833,0.0666,0.1053,0.2824
96,0.3434,0.5136,0.2435,0.0,0.1053,0.0
97,0.2725,0.6484,0.2688,0.0513,0.1053,0.4017
98,0.5806,0.9135,0.4391,0.0666,0.1053,0.1152
99,0.2388,0.4982,0.2345,0.081,0.1053,0.1964
