module_id	module_label	program_family	pseudobulk_id	donor_id	ed_subgroup	n_genes_scored	genes_scored	mean_z_score
candidate_directional_signature_12	Candidate directional signature	candidate_signature	N1__Pericyte_like	N1	normal	12	ADAMTS4,NR4A3,IL6,PI15,PLA2G2A,SH3BP5,MT1A,NR4A2,ERAP2,NR4A1,CYR61,RGS16	-0.855014572618004
candidate_directional_signature_12	Candidate directional signature	candidate_signature	N2__Pericyte_like	N2	normal	12	ADAMTS4,NR4A3,IL6,PI15,PLA2G2A,SH3BP5,MT1A,NR4A2,ERAP2,NR4A1,CYR61,RGS16	-0.4845417002006012
candidate_directional_signature_12	Candidate directional signature	candidate_signature	N3__Pericyte_like	N3	normal	12	ADAMTS4,NR4A3,IL6,PI15,PLA2G2A,SH3BP5,MT1A,NR4A2,ERAP2,NR4A1,CYR61,RGS16	-0.9479640782475228
candidate_directional_signature_12	Candidate directional signature	candidate_signature	DMED1__Pericyte_like	DMED1	diabetic_ED	12	ADAMTS4,NR4A3,IL6,PI15,PLA2G2A,SH3BP5,MT1A,NR4A2,ERAP2,NR4A1,CYR61,RGS16	1.0186881840394162
candidate_directional_signature_12	Candidate directional signature	candidate_signature	DMED2__Pericyte_like	DMED2	diabetic_ED	12	ADAMTS4,NR4A3,IL6,PI15,PLA2G2A,SH3BP5,MT1A,NR4A2,ERAP2,NR4A1,CYR61,RGS16	1.268832167026712
candidate_inflammatory_remodeling_5	Inflammatory-remodeling candidate genes	candidate_signature	N1__Pericyte_like	N1	normal	5	IL6,ADAMTS4,PLA2G2A,CYR61,PI15	-1.0316791605641131
candidate_inflammatory_remodeling_5	Inflammatory-remodeling candidate genes	candidate_signature	N2__Pericyte_like	N2	normal	5	IL6,ADAMTS4,PLA2G2A,CYR61,PI15	-0.3797668858794327
candidate_inflammatory_remodeling_5	Inflammatory-remodeling candidate genes	candidate_signature	N3__Pericyte_like	N3	normal	5	IL6,ADAMTS4,PLA2G2A,CYR61,PI15	-0.8672359318766674
candidate_inflammatory_remodeling_5	Inflammatory-remodeling candidate genes	candidate_signature	DMED1__Pericyte_like	DMED1	diabetic_ED	5	IL6,ADAMTS4,PLA2G2A,CYR61,PI15	1.060776962669995
candidate_inflammatory_remodeling_5	Inflammatory-remodeling candidate genes	candidate_signature	DMED2__Pericyte_like	DMED2	diabetic_ED	5	IL6,ADAMTS4,PLA2G2A,CYR61,PI15	1.2179050156502191
immediate_early_stress	Immediate-early, AP-1, and stress response	stress	N1__Pericyte_like	N1	normal	27	FOS,FOSB,FOSL1,FOSL2,JUN,JUNB,JUND,EGR1,EGR2,EGR3,ATF3,NR4A1,NR4A2,NR4A3,DUSP1,DUSP2,DUSP5,DUSP8,KLF2,KLF4,KLF6,ZFP36,CYR61,HSPB8,HSPA1A,HSPA1B,DNAJB1	-0.9129347057132513
immediate_early_stress	Immediate-early, AP-1, and stress response	stress	N2__Pericyte_like	N2	normal	27	FOS,FOSB,FOSL1,FOSL2,JUN,JUNB,JUND,EGR1,EGR2,EGR3,ATF3,NR4A1,NR4A2,NR4A3,DUSP1,DUSP2,DUSP5,DUSP8,KLF2,KLF4,KLF6,ZFP36,CYR61,HSPB8,HSPA1A,HSPA1B,DNAJB1	0.2594959114768269
immediate_early_stress	Immediate-early, AP-1, and stress response	stress	N3__Pericyte_like	N3	normal	27	FOS,FOSB,FOSL1,FOSL2,JUN,JUNB,JUND,EGR1,EGR2,EGR3,ATF3,NR4A1,NR4A2,NR4A3,DUSP1,DUSP2,DUSP5,DUSP8,KLF2,KLF4,KLF6,ZFP36,CYR61,HSPB8,HSPA1A,HSPA1B,DNAJB1	-0.8447909627199892
immediate_early_stress	Immediate-early, AP-1, and stress response	stress	DMED1__Pericyte_like	DMED1	diabetic_ED	27	FOS,FOSB,FOSL1,FOSL2,JUN,JUNB,JUND,EGR1,EGR2,EGR3,ATF3,NR4A1,NR4A2,NR4A3,DUSP1,DUSP2,DUSP5,DUSP8,KLF2,KLF4,KLF6,ZFP36,CYR61,HSPB8,HSPA1A,HSPA1B,DNAJB1	0.29890050734018453
immediate_early_stress	Immediate-early, AP-1, and stress response	stress	DMED2__Pericyte_like	DMED2	diabetic_ED	27	FOS,FOSB,FOSL1,FOSL2,JUN,JUNB,JUND,EGR1,EGR2,EGR3,ATF3,NR4A1,NR4A2,NR4A3,DUSP1,DUSP2,DUSP5,DUSP8,KLF2,KLF4,KLF6,ZFP36,CYR61,HSPB8,HSPA1A,HSPA1B,DNAJB1	1.1993292496162302
