donor_id	mural_subtype	n_cells	total_annotated_cells	total_refined_mural_smc_cells	proportion_of_total_cells	proportion_within_refined_mural_smc	ed_subgroup
DMED1	CC_SMC_like	594	9058	1546	0.0655773901523515	0.38421733505821476	diabetic_ED
DMED1	Pericyte_like	177	9058	1546	0.019540737469640097	0.11448900388098318	diabetic_ED
DMED1	Vessel_SMC_like	775	9058	1546	0.08555972620887613	0.5012936610608021	diabetic_ED
DMED2	CC_SMC_like	2284	10425	3813	0.21908872901678658	0.5990034093889326	diabetic_ED
DMED2	Pericyte_like	255	10425	3813	0.02446043165467626	0.06687647521636507	diabetic_ED
DMED2	Vessel_SMC_like	1274	10425	3813	0.1222062350119904	0.3341201153947023	diabetic_ED
ED1	CC_SMC_like	37	5906	254	0.006264815441923467	0.14566929133858267	non_diabetic_ED
ED1	Pericyte_like	76	5906	254	0.012868269556383339	0.2992125984251969	non_diabetic_ED
ED1	Vessel_SMC_like	141	5906	254	0.023874026413816456	0.5551181102362205	non_diabetic_ED
ED2	CC_SMC_like	44	2853	115	0.015422362425517	0.3826086956521739	non_diabetic_ED
ED2	Pericyte_like	16	2853	115	0.005608131791097091	0.1391304347826087	non_diabetic_ED
ED2	Vessel_SMC_like	55	2853	115	0.01927795303189625	0.4782608695652174	non_diabetic_ED
ED3	CC_SMC_like	100	11179	2371	0.00894534394847482	0.04217629692113033	non_diabetic_ED
ED3	Pericyte_like	279	11179	2371	0.024957509616244745	0.11767186840995361	non_diabetic_ED
ED3	Vessel_SMC_like	1992	11179	2371	0.1781912514536184	0.8401518346689161	non_diabetic_ED
N1	CC_SMC_like	56	8357	312	0.006700969247337561	0.1794871794871795	normal
N1	Pericyte_like	203	8357	312	0.02429101352159866	0.6506410256410257	normal
N1	Vessel_SMC_like	53	8357	312	0.006341988751944478	0.16987179487179488	normal
N2	CC_SMC_like	20	5571	225	0.003590019745108598	0.08888888888888889	normal
N2	Pericyte_like	106	5571	225	0.01902710464907557	0.4711111111111111	normal
N2	Vessel_SMC_like	99	5571	225	0.017770597738287562	0.44	normal
N3	CC_SMC_like	283	11644	669	0.024304362761937478	0.42301943198804187	normal
N3	Pericyte_like	244	11644	669	0.02095499828237719	0.36472346786248133	normal
N3	Vessel_SMC_like	142	11644	669	0.012195121951219513	0.21225710014947682	normal
