dataset	peyronie_comparison	omitted_gene	n_signature_genes_in_universe	camera_direction	camera_p_value	validation_mode	remaining_genes	camera_FDR_within_comparison
GSE126005	PD_plaque_vs_control	ADAMTS4	9	Up	0.000485527335271757	disease_same_direction	CYR61,IL6,NR4A1,NR4A2,NR4A3,PI15,PLA2G2A,RGS16,SH3BP5	0.000485527335271757
GSE126005	PD_plaque_vs_control	CYR61	9	Up	2.95937252264171e-05	disease_same_direction	ADAMTS4,IL6,NR4A1,NR4A2,NR4A3,PI15,PLA2G2A,RGS16,SH3BP5	4.70243071298595e-05
GSE126005	PD_plaque_vs_control	IL6	9	Up	0.000206815566834461	disease_same_direction	ADAMTS4,CYR61,NR4A1,NR4A2,NR4A3,PI15,PLA2G2A,RGS16,SH3BP5	0.000252774581686563
GSE126005	PD_plaque_vs_control	NONE_FULL_SIGNATURE	10	Up	2.0256518876918e-05	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A2,NR4A3,PI15,PLA2G2A,RGS16,SH3BP5	4.45643415292196e-05
GSE126005	PD_plaque_vs_control	NR4A1	9	Up	2.99245590826378e-05	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A2,NR4A3,PI15,PLA2G2A,RGS16,SH3BP5	4.70243071298595e-05
GSE126005	PD_plaque_vs_control	NR4A2	9	Up	1.63988895367817e-05	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A3,PI15,PLA2G2A,RGS16,SH3BP5	4.45643415292196e-05
GSE126005	PD_plaque_vs_control	NR4A3	9	Up	5.23183099093652e-06	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A2,PI15,PLA2G2A,RGS16,SH3BP5	2.98482494343509e-05
GSE126005	PD_plaque_vs_control	PI15	9	Up	5.42695444260925e-06	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A2,NR4A3,PLA2G2A,RGS16,SH3BP5	2.98482494343509e-05
GSE126005	PD_plaque_vs_control	PLA2G2A	9	Up	0.000283808134380572	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A2,NR4A3,PI15,RGS16,SH3BP5	0.00031218894781863
GSE126005	PD_plaque_vs_control	RGS16	9	Up	0.000185379323383046	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A2,NR4A3,PI15,PLA2G2A,SH3BP5	0.000252774581686563
GSE126005	PD_plaque_vs_control	SH3BP5	9	Up	1.79840399046328e-05	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A2,NR4A3,PI15,PLA2G2A,RGS16	4.45643415292196e-05
GSE146500	PF_vs_NF	ADAMTS4	8	Up	0.00245243407263454	disease_same_direction	CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.00306554259079317
GSE146500	PF_vs_NF	CYR61	8	Up	0.00514805039539636	disease_same_direction	ADAMTS4,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.00572005599488485
GSE146500	PF_vs_NF	IL6	8	Up	0.0369107458349497	disease_same_direction	ADAMTS4,CYR61,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.0369107458349497
GSE146500	PF_vs_NF	MT1A	8	Up	0.000105558990247977	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.000263897475619942
GSE146500	PF_vs_NF	NONE_FULL_SIGNATURE	9	Up	0.000261057668069912	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.000445454240495059
GSE146500	PF_vs_NF	NR4A1	8	Up	0.000368125823429972	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A2,NR4A3,RGS16,SH3BP5	0.000525894033471389
GSE146500	PF_vs_NF	NR4A2	8	Up	2.66376647376069e-05	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A3,RGS16,SH3BP5	0.00025074326661712
GSE146500	PF_vs_NF	NR4A3	8	Up	7.29020418736979e-05	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,RGS16,SH3BP5	0.00025074326661712
GSE146500	PF_vs_NF	RGS16	8	Up	0.000267272544297035	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,SH3BP5	0.000445454240495059
GSE146500	PF_vs_NF	SH3BP5	8	Up	7.52229799851361e-05	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16	0.00025074326661712
GSE146500	PFPC_vs_NF	ADAMTS4	8	Up	0.0528205577107047	disease_same_direction	CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.0586895085674497
GSE146500	PFPC_vs_NF	CYR61	8	Up	0.0225830857564313	disease_same_direction	ADAMTS4,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.0282288571955391
GSE146500	PFPC_vs_NF	IL6	8	Up	0.108624565386269	disease_same_direction	ADAMTS4,CYR61,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.108624565386269
GSE146500	PFPC_vs_NF	MT1A	8	Up	0.00310976723297525	disease_same_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.0062195344659505
GSE146500	PFPC_vs_NF	NONE_FULL_SIGNATURE	9	Up	0.00444001987692237	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.00740003312820396
GSE146500	PFPC_vs_NF	NR4A1	8	Up	0.00179017298596629	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A2,NR4A3,RGS16,SH3BP5	0.00447543246491573
GSE146500	PFPC_vs_NF	NR4A2	8	Up	0.0010419804319224	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A3,RGS16,SH3BP5	0.00447543246491573
GSE146500	PFPC_vs_NF	NR4A3	8	Up	0.00150862168527456	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,RGS16,SH3BP5	0.00447543246491573
GSE146500	PFPC_vs_NF	RGS16	8	Up	0.00658488328236057	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,SH3BP5	0.00940697611765796
GSE146500	PFPC_vs_NF	SH3BP5	8	Up	0.00145759634582881	disease_same_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16	0.00447543246491573
GSE146500	PFPC_vs_PF	ADAMTS4	8	Down	1.79992649995109e-08	treatment_opposes_ED_direction	CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	1.79992649995109e-07
GSE146500	PFPC_vs_PF	CYR61	8	Down	0.00393856301544748	treatment_opposes_ED_direction	ADAMTS4,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.00437618112827498
GSE146500	PFPC_vs_PF	IL6	8	Down	0.0153036259198791	treatment_opposes_ED_direction	ADAMTS4,CYR61,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	0.0153036259198791
GSE146500	PFPC_vs_PF	MT1A	8	Down	6.84199689232843e-07	treatment_opposes_ED_direction	ADAMTS4,CYR61,IL6,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	1.72654851223065e-06
GSE146500	PFPC_vs_PF	NONE_FULL_SIGNATURE	9	Down	9.31517060735208e-06	treatment_opposes_ED_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16,SH3BP5	1.55252843455868e-05
GSE146500	PFPC_vs_PF	NR4A1	8	Down	0.00252284963076053	treatment_opposes_ED_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A2,NR4A3,RGS16,SH3BP5	0.00315356203845067
GSE146500	PFPC_vs_PF	NR4A2	8	Down	4.50181259850007e-07	treatment_opposes_ED_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A3,RGS16,SH3BP5	1.72654851223065e-06
GSE146500	PFPC_vs_PF	NR4A3	8	Down	7.95854287233847e-06	treatment_opposes_ED_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,RGS16,SH3BP5	1.55252843455868e-05
GSE146500	PFPC_vs_PF	RGS16	8	Down	6.90619404892258e-07	treatment_opposes_ED_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,SH3BP5	1.72654851223065e-06
GSE146500	PFPC_vs_PF	SH3BP5	8	Down	1.1646742269502e-05	treatment_opposes_ED_direction	ADAMTS4,CYR61,IL6,MT1A,NR4A1,NR4A2,NR4A3,RGS16	1.66382032421457e-05
